ROI,mean0,sd0,thr
ROI.02 [],0.17282654202668657,0.07095617131917012,0.45665122730336705
ROI.03 [],0.24175158264355626,0.21666825708464324,1.1084246109821292
ROI.04 [],0.05359528578773842,0.03129838789933915,0.17878883738509502
ROI.05 [],0.01774295132989213,0.006292001370649929,0.04291095681249185
ROI.06 [],0.008548938335689673,0.0058845571484134425,0.03208716692934344
ROI.07 [],0.025766188583280263,0.013467109592548827,0.07963462695347558
ROI.08 [],0.013217032804018336,0.0029782772908913146,0.025130141967583595
ROI.09 [],0.01828686534206796,0.007221499200987757,0.047172862146018985
ROI.10 [],0.012720768968417517,0.011121235696882987,0.05720571175594946
ROI.11 [],0.04157788858343765,0.03877975460844313,0.19669690701721015
ROI.12 [],0.0045611295267827395,0.006311154524626978,0.029805747625290653
ROI.13 [],0.019020696514789517,0.01992812953588058,0.09873321465831184
ROI.14 [],0.01507895020870687,0.013749945402787676,0.07007873181985758
ROI.15 [],0.008040916175133724,0.004449396583438035,0.025838502508885863
ROI.16 [],0.01943401505093705,0.010341608374388161,0.06080044854848969
