ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.02 [],190.277,60.27699999999999,130,150
ROI.03 [],189.277,59.27699999999999,130,150
ROI.04 [],154.777,24.776999999999987,130,150
ROI.04 [],183.776,53.77600000000001,130,150
ROI.06 [],186.777,56.77699999999999,130,150
ROI.07 [],188.278,58.27799999999999,130,150
ROI.08 [],190.277,60.27699999999999,130,150
ROI.09 [],187.777,57.77699999999999,130,150
ROI.10 [],183.776,53.77600000000001,130,150
ROI.11 [],183.776,53.77600000000001,130,150
ROI.12 [],186.777,56.77699999999999,130,150
ROI.13 [],183.776,53.77600000000001,130,150
ROI.14 [],183.776,53.77600000000001,130,150
ROI.15 [],189.277,59.27699999999999,130,150
ROI.16 [],189.277,59.27699999999999,130,150
