ROI,n_latencies,mean_latency_s,median_latency_s,std_latency_s,min_latency_s,max_latency_s
ROI.02 [],1,60.27699999999999,60.27699999999999,0.0,60.27699999999999,60.27699999999999
ROI.03 [],1,59.27699999999999,59.27699999999999,0.0,59.27699999999999,59.27699999999999
ROI.04 [],2,39.2765,39.2765,14.499500000000012,24.776999999999987,53.77600000000001
ROI.06 [],1,56.77699999999999,56.77699999999999,0.0,56.77699999999999,56.77699999999999
ROI.07 [],1,58.27799999999999,58.27799999999999,0.0,58.27799999999999,58.27799999999999
ROI.08 [],1,60.27699999999999,60.27699999999999,0.0,60.27699999999999,60.27699999999999
ROI.09 [],1,57.77699999999999,57.77699999999999,0.0,57.77699999999999,57.77699999999999
ROI.10 [],1,53.77600000000001,53.77600000000001,0.0,53.77600000000001,53.77600000000001
ROI.11 [],1,53.77600000000001,53.77600000000001,0.0,53.77600000000001,53.77600000000001
ROI.12 [],1,56.77699999999999,56.77699999999999,0.0,56.77699999999999,56.77699999999999
ROI.13 [],1,53.77600000000001,53.77600000000001,0.0,53.77600000000001,53.77600000000001
ROI.14 [],1,53.77600000000001,53.77600000000001,0.0,53.77600000000001,53.77600000000001
ROI.15 [],1,59.27699999999999,59.27699999999999,0.0,59.27699999999999,59.27699999999999
ROI.16 [],1,59.27699999999999,59.27699999999999,0.0,59.27699999999999,59.27699999999999
