ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.12 [],56.276,26.276000000000003,30,50
ROI.12 [],101.288,21.287999999999997,80,100
ROI.12 [],106.278,26.278000000000006,80,100
ROI.12 [],157.286,27.286,130,150
ROI.12 [],180.278,50.27799999999999,130,150
ROI.14 [],50.276,20.276000000000003,30,50
ROI.14 [],57.278,27.278,30,50
ROI.14 [],66.277,36.277,30,50
ROI.14 [],101.288,21.287999999999997,80,100
ROI.14 [],151.276,21.27600000000001,130,150
ROI.14 [],172.777,42.77699999999999,130,150
ROI.14 [],182.777,52.77699999999999,130,150
ROI.15 [],150.284,20.283999999999992,130,150
ROI.15 [],155.277,25.276999999999987,130,150
