Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.15 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 []
0.257,0.0,0.5862042118138575,4.162326020111266,0.06753848164767094,0.03264579420955914,0.13306646217165669,0.10252310736406783,0.04583338306799904,0.055201153103828934,0.03363994183114493,0.010268159746568545,0.01560625037193097,0.047627786529600084,0.02282412667236115,0.012820726199767027,0.012773746050446184,0.012721355681145094,0.017349366012892303,-0.00022593428413481074
0.785,0.0,0.6119525157942447,3.7566566117536246,0.06502129457673804,0.048914921352167844,0.1556381092451552,0.1563019155917313,0.0567100503131542,0.0887517154329719,0.056904170764844254,0.02399954683939348,0.01875538095665997,0.06711505606966318,0.02451640302413901,0.018651959667396512,0.015214912332372493,0.01305796666816063,0.02056154322262835,0.02810009169302701
1.277,0.0,0.523552788197428,4.3345407809444945,0.030067739986632324,0.02889696585091875,0.11474827822892379,0.05630936160200269,0.03936374894987103,0.0523612147687339,0.032418991657986285,0.013609828146612782,0.0049988938812194,0.017726327958112593,0.010988682040120044,0.005883924146172348,0.015973288973635973,0.002927490349751829,0.006499250835681678,0.014164813220723426
1.777,0.0,0.5034733948503164,3.4424131262954063,0.04616073505621717,0.036828013675448586,0.12889472759844037,0.0633758488128172,0.045116609578460136,0.0410380230647628,0.038379419788330545,0.01947399193919384,0.016817734956103454,0.05832022916648518,0.01051317056251456,0.011970629225547974,0.005455259923600983,0.012721677808941154,0.009006651341195883,0.013957108217272522
2.277,0.0,0.49544097630665823,2.665202274399522,0.03786898446108015,0.020385089231520603,0.10440589926260699,0.05671872277585342,0.014699431060084492,0.029784104794318148,0.01735247986155943,0.013136788440121384,0.0040836340826880735,0.022003447614832264,0.0008056619154014159,0.013444630845065609,0.004504850828133203,0.012403839743646481,0.0026623451548970544,0.01110525414173842
2.777,0.0,0.4111438503529777,2.5671626220933357,0.0068698453664919725,0.013426463396131186,0.09738783152088984,0.07309793109347819,0.016667906815766124,0.014729648787898137,0.02144018582087258,9.516145223261378e-05,-0.0025130082854129504,0.011087379304264114,0.013343363584910398,-0.00031238318843222274,-0.001846762779290842,0.009189923250866774,0.009120973308961626,0.0019588039349754897
3.277,0.0,0.39725431396052385,1.7401291227616635,0.04485546277166302,0.041663514734290155,0.10486080130571156,0.11675367159265525,0.044039182001289985,0.046281521590223786,0.021432910031568646,0.01847502636722314,0.01721541241382457,0.06315226512239139,0.027975710199978545,0.013251475209507124,0.00977182867356477,0.013762164397771028,0.010451985383856433,0.03196222958969412
3.778,0.0,0.3225890314546371,1.015665875221545,0.028900404134897723,0.02734048371348946,0.10864836071962193,0.0990813772505229,0.038751050592631155,0.02379224599559713,0.045572284566803976,0.007930519610746256,0.017509943910850236,0.0652498533880734,0.022429177281578127,0.0041426634398293045,0.020779200870242952,0.006658573324872602,0.014588792179186629,0.017176000120151656
4.278,0.0,0.25825457102992394,0.6649937361520855,0.0405085893029454,0.010358384635747982,0.07542755100711088,0.058595228855334434,0.013976361070829916,0.023609886015270753,0.028542551700444257,0.006424772478032845,0.0006845967903585802,0.028561095591302463,0.015452640047676292,0.006013001486292828,0.010959247046160997,0.0017019864279186304,0.005189758385125091,0.012115749020658654
4.776,0.0,0.24289084793980859,1.3096019735075575,0.025902614267314248,0.01340439308621009,0.07324049546720734,0.053718556556110436,0.016039393511880495,0.022134188750525797,0.03525145477063816,0.002546709958286606,-2.1289442755010503e-05,0.04924359320932652,0.01639749754498068,0.011758018265237482,0.0020497335421508713,0.010203304970539697,0.020735310127848516,0.0034876417018051297
5.287,0.0,0.2559023451014622,1.2199254787436002,0.012987964653910073,0.0201856796540644,0.07380759575997842,0.02483013607257583,0.024002620300351715,0.007394987384765669,0.020096812045003035,-0.001605346232176163,0.009992487314376092,0.025410897818002116,0.009706698380500242,0.008992448443472299,0.011859748549586201,0.0011753649917913488,0.00561034527503698,0.006583960267597213
5.78,0.0,0.14201695390708494,0.45123261080800814,0.04635692157975681,0.021265793073971917,0.05177763030310213,0.06959601825183531,0.018605724206204165,0.03122386169360222,0.031044497663508502,0.003333858871559437,0.0008237999206689703,0.04134533779372084,0.01407270042081129,0.011096050026814649,0.007554911830162949,0.0025976788798837734,0.007147967637598796,0.00825256258048287
6.281,0.0,0.13593310350514184,1.4655074274132815,0.03863028606838475,0.021765905318012774,0.05543261629834349,0.0899636574799844,0.030719541861122312,0.023825860900303603,0.02490659821989615,0.006631554870857958,0.010973058363645654,0.04571913984361371,0.01956230038654974,0.011619556443166935,0.017384259277296487,0.007397401801973458,0.01672835396993687,0.02773122709633479
6.783,0.0,0.13174077469301684,0.4227707623006087,0.031598969115525705,0.009920652887633332,0.027920522785097178,0.011212995006260376,0.019775199948278345,0.01864405610614005,0.028000490393496304,0.0007821623687352423,0.007855370762106625,0.03454787155576814,0.016215407973029373,-0.0009752341823495884,0.011525518066236685,0.009820814721536762,-0.0018619888828557388,0.012463393280741414
7.284,0.0,0.14258965486638636,0.8685996386353173,0.03328360209700546,0.01357395969841289,0.028753607900615374,0.06792739058437808,0.015171933419515102,0.021785377641453954,0.018348986437471536,0.011868537615318277,0.005382387837820647,0.0256291974887815,0.018669227208988982,0.004446504712969565,0.004862212644530951,0.004459413349992052,0.001297803771771436,0.0011539394859055342
7.778,0.0,0.17655925542244935,0.9918708773280321,0.04298565302666801,0.03010070346748508,0.04057361894014617,0.062314592836072734,0.021744140252318116,0.022341414779781403,0.03265695307506548,0.01606745082032896,0.0041901678949776335,0.035280639623576825,0.009283918928771366,0.004833792099548254,0.024959241629785463,0.014442047874689775,0.012903229243923382,0.02623514601547279
8.278,0.0,0.14027961443635015,0.9035594136672733,0.030078604597459993,0.022386284462767754,0.020240189750738744,0.04482296841371862,0.014301243633363677,0.026710623568238917,0.02922361169633659,0.012388409873785696,0.005696661686935394,0.03247269892190211,0.008651241390670139,0.008313414646756187,0.009179497668199747,0.0006270606337086895,0.015871541471580253,0.025718217940157818
8.778,0.0,0.14863064434983592,1.1960787973236655,0.04340251417585214,0.01653941899840399,0.0222700784174942,0.08978119956121024,0.02342004077534378,0.03125809970451807,0.02519388317262247,0.014253963509974243,0.004096414552968348,0.035861408491218306,0.013024198925931405,0.01774151043827496,0.018915281196631377,0.009213899015621497,0.01968742821751336,0.030773319850659477
9.277,0.0,0.1263413687863564,0.5359208516925921,0.05519341523921116,0.006681672537109937,0.032064592260168244,0.05471858744191122,0.009877005712651269,0.014812649760869136,0.03583980340354068,0.014436850040213552,0.018917845560492592,0.045377889230557904,0.019936042481715967,0.013603946066907395,0.009377089944627704,0.019849696575407395,0.006896360095597223,0.021846720890859365
9.778,0.0,0.16399018336700846,0.45611286878398816,0.02672888092376324,0.033855273017947884,0.007248558968697093,0.02117161405330726,0.006602710635132117,0.014885216407804049,0.02242693675651055,0.009834582269871966,0.011718594039482335,0.03818021965973901,0.016970638442222703,0.011306584055093265,0.016443103505452753,0.011648320979586561,0.007339230587082519,0.018909884038574683
10.277,0.0,0.05368133449949873,0.3529330344319938,0.029683232021537734,0.012225202875672395,0.018434364606218674,0.034985255947638176,0.012448821294277237,0.004502511265481299,0.03075910779327059,0.012403980766798236,0.010838267846577382,0.01942494240887228,0.021457250698085795,0.009247856312042788,0.01030183999814167,0.013828485446912689,0.012161527554387696,0.01518863060169363
10.776,0.0,0.14914069428630383,0.881791798701197,0.03409314051692135,0.012971203166353876,0.01658877136912253,0.014690735461177452,0.022786435208436675,0.01218618285547271,0.024494357393035984,0.007222915504456581,0.010318096178717782,0.03351877086244017,0.01968982025527707,0.017966515364290354,0.016190174332964807,0.006976914236175847,0.009620712772305692,0.014945135456091064
11.277,0.0,0.13406090533806836,0.8007424813191488,0.01129110652386058,0.00947474151095139,-0.002144195811845319,0.02402165450730962,0.020005359771247476,0.0008893702901921497,0.014738193909874086,0.007231336716500816,0.015022078674006333,0.0220271472311334,0.008149993546377673,0.004255589509198179,-2.600139152818018e-05,0.0062528475715079345,0.005575902470136609,-0.0051958057782592075
11.778,0.0,0.10321023532052934,0.1830049084590281,0.01730172925873521,0.009262249083117515,-0.0041751069801086674,0.03835151065760576,0.012797076869557321,-0.0010826285820053337,0.009744465480607374,0.0013013517463861266,0.00613827526200908,0.025511689965185564,0.00681634948896925,0.0030892742929216096,0.024743068922983873,0.01863599852988045,0.017952377811696608,0.014835345209946579
12.276,0.0,0.05727199263034995,0.7155982739218028,0.036692327365859354,0.01421282796759902,0.02434281316174092,0.06001035642715656,0.013342043796880854,0.018002740090176023,0.02990020216903947,0.005692930642193946,0.014282610423703239,0.026250701256330392,0.01464430125536784,0.015273344650390243,0.02635418640941517,0.0061992287578144295,0.010776032059145377,0.02375313391144458
