ROI,n_spikes,spike_times_s
ROI.18 [],15,11.277;15.278;22.276;51.788;58.277;72.276;76.278;103.783;109.776;127.777;154.777;161.284;170.287;189.275;194.276
ROI.11 [],2,169.776;189.275
ROI.03 [],1,189.275
ROI.02 [],1,188.778
ROI.06 [],1,186.277
ROI.04 [],1,189.275
ROI.07 [],1,189.275
ROI.08 [],1,189.275
ROI.09 [],1,189.275
ROI.05 [],1,185.777
ROI.10 [],1,189.777
ROI.12 [],1,189.275
ROI.14 [],1,188.278
ROI.13 [],1,189.275
ROI.15 [],1,189.275
ROI.16 [],1,186.776
ROI.17 [],1,188.278
ROI.19 [],1,189.275
