ROI,mean0,sd0,thr
ROI.02 [],0.38722640217421356,0.12629963232945216,0.8924249314920222
ROI.03 [],0.35909511378594067,0.11906649888050104,0.8353611093079448
ROI.04 [],0.01786259921456215,0.00883276728988887,0.053193668374117625
ROI.05 [],0.016307391056309524,0.006763225982486039,0.043360294986253684
ROI.06 [],0.01721512897080997,0.010736230853425939,0.060160052384513725
ROI.07 [],0.059417143544999475,0.031235967676476625,0.18436101425090598
ROI.08 [],0.019208026569719778,0.009681162558965123,0.05793267680558027
ROI.09 [],0.023968215026174258,0.012101740258085483,0.07237517605851619
ROI.10 [],0.013386509195262767,0.009739930621116796,0.05234623167972995
ROI.11 [],0.012752676377096175,0.0025210968082108615,0.02283706360993962
ROI.12 [],0.007362339697928107,0.007051454888985488,0.03556815925387006
ROI.13 [],0.014387218303411208,0.012417380018929745,0.06405673837913019
ROI.14 [],0.006467205548764962,0.006278857436956255,0.03158263529658998
ROI.15 [],0.007110565006253708,0.004041508166977217,0.023276597674162576
ROI.16 [],0.006673099989468177,0.005072261602236612,0.026962146398414624
ROI.17 [],0.007160327819934358,0.005374045913352582,0.028656511473344685
ROI.18 [],0.007176063456044474,0.0038234526345519255,0.022469873994252175
ROI.19 [],0.02131215926681991,0.011567224940452932,0.06758105902863164
