ROI,mean0,sd0,thr
ROI.01 [],0.006203772753455347,0.0032780446466393557,0.016037906693373415
ROI.02 [],0.005485928135788134,0.003745899191041584,0.016723625708912886
ROI.03 [],0.006917567862166794,0.003719778211856649,0.01807690249773674
ROI.04 [],0.004020059983713646,0.002974911867770212,0.012944795587024282
ROI.05 [],0.003800545564161883,0.0023388278901465393,0.0108170292346015
ROI.06 [],0.017611358803235486,0.014304867136070558,0.06052596021144716
ROI.07 [],0.005950861040101846,0.0033671261794658664,0.016052239578499446
ROI.08 [],0.004884184584326601,0.0027759794602402435,0.013212122965047332
ROI.09 [],0.006360688685076471,0.004344238551218174,0.01939340433873099
ROI.10 [],0.007859208527358321,0.0051260520411287565,0.023237364650744594
ROI.11 [],0.005084599136380351,0.0028414497458045434,0.013608948373793981
ROI.12 [],0.006329826622343233,0.003230734242806771,0.016022029350763547
ROI.13 [],0.004689150525148141,0.0026972260804564076,0.012780828766517364
ROI.14 [],0.00584712692000711,0.00456499305187135,0.01954210607562116
ROI.15 [],0.005904457300585652,0.00207535455071658,0.012130520952735393
ROI.16 [],0.004349550312434679,0.002644591749286633,0.01228332556029458
ROI.17 [],0.004469011514877994,0.0020560602246364554,0.010637192188787361
ROI.18 [],0.004028870964856783,0.00241172970102751,0.011264060067939313
ROI.19 [],0.006347832032119699,0.005298782461676813,0.022244179417150137
