ROI,mean0,sd0,thr
ROI.01 [],0.0037615057001729128,0.0028303135611666354,0.01225244638367282
ROI.03 [],0.005883606244992406,0.005667669873842275,0.02288661586651923
ROI.04 [],0.0016417566383867795,0.0029843617555765866,0.010594841905116538
ROI.05 [],0.00276144178556974,0.002757847923503952,0.011034985556081596
ROI.06 [],0.004164783878559104,0.0041730897004044025,0.01668405297977231
ROI.07 [],0.23703657794602168,0.0072383074809148,0.2587515003887661
ROI.08 [],0.07619735900447325,0.007190184839509102,0.09776791352300054
ROI.09 [],0.0033336015745379015,0.0027738926358856194,0.01165527948219476
ROI.10 [],0.01447736824617917,0.008181567989468537,0.039022072214584785
ROI.11 [],0.010572676534305122,0.012489130830469814,0.04804006902571457
ROI.12 [],0.00428528264951237,0.0036551097058084045,0.015250611766937584
ROI.13 [],0.0013814865629128738,0.0031651949804359886,0.010877071504220839
ROI.14 [],0.0012492331063035152,0.0020020133652989556,0.007255273202200382
ROI.15 [],-0.02700632623089518,0.02028477712640191,0.03384800514831056
