ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.02 [],41.775,0.0,30,50
ROI.02 [],81.775,0.0,80,100
ROI.02 [],147.776,0.0,130,150
ROI.05 [],75.781,25.781000000000006,30,50
ROI.05 [],114.776,14.775999999999996,80,100
ROI.05 [],124.276,24.275999999999996,80,100
ROI.05 [],153.276,3.2760000000000105,130,150
ROI.05 [],163.275,13.275000000000006,130,150
ROI.05 [],202.275,52.275000000000006,130,150
ROI.07 [],202.786,52.786,130,150
ROI.09 [],42.277,0.0,30,50
ROI.09 [],95.776,0.0,80,100
ROI.09 [],138.775,0.0,130,150
ROI.10 [],50.275,0.2749999999999986,30,50
ROI.10 [],85.275,0.0,80,100
ROI.10 [],138.775,0.0,130,150
ROI.11 [],41.775,0.0,30,50
ROI.11 [],96.776,0.0,80,100
ROI.11 [],138.775,0.0,130,150
ROI.14 [],33.776,0.0,30,50
ROI.14 [],85.775,0.0,80,100
ROI.14 [],138.775,0.0,130,150
ROI.15 [],43.276,0.0,30,50
ROI.15 [],91.275,0.0,80,100
ROI.15 [],138.775,0.0,130,150
ROI.16 [],39.776,0.0,30,50
ROI.16 [],85.275,0.0,80,100
ROI.16 [],138.775,0.0,130,150
ROI.17 [],58.776,8.776000000000003,30,50
ROI.19 [],75.781,25.781000000000006,30,50
ROI.19 [],114.776,14.775999999999996,80,100
ROI.19 [],153.276,3.2760000000000105,130,150
ROI.19 [],202.275,52.275000000000006,130,150
ROI.20 [],43.276,0.0,30,50
ROI.20 [],91.275,0.0,80,100
ROI.20 [],138.775,0.0,130,150
ROI.21 [],32.275,0.0,30,50
ROI.21 [],96.776,0.0,80,100
ROI.21 [],149.276,0.0,130,150
ROI.23 [],75.781,25.781000000000006,30,50
ROI.23 [],114.776,14.775999999999996,80,100
ROI.23 [],153.276,3.2760000000000105,130,150
ROI.23 [],202.275,52.275000000000006,130,150
