ROI,n_spikes,spike_times_s
ROI.19 [],6,32.777;70.275;74.786;98.287;163.778;203.283
ROI.10 [],4,60.790;78.777;105.285;130.285
ROI.17 [],4,76.784;112.786;130.285;139.277
ROI.22 [],4,105.285;130.285;139.277;146.788
ROI.23 [],3,32.777;70.275;203.776
ROI.09 [],3,105.285;130.285;148.779
ROI.13 [],3,70.275;74.284;163.277
ROI.11 [],2,111.780;130.285
ROI.20 [],2,105.285;130.285
ROI.15 [],2,105.285;130.285
ROI.12 [],2,70.275;98.782
ROI.14 [],2,105.285;130.285
ROI.000 [],2,104.779;130.285
ROI.16 [],2,105.285;130.285
ROI.07 [],1,70.275
ROI.21 [],1,123.795
