ROI,mean0,sd0,thr
ROI.02 [],0.09410932981618192,0.04279489435835566,0.30808380160796023
ROI.03 [],0.2790426116661348,0.25459059245710836,1.5519955739516766
ROI.04 [],-0.08292084177246944,0.040597835992477745,0.12006833818991927
ROI.05 [],-0.10814317691997638,0.04445398913660089,0.11412676876302807
ROI.06 [],-0.0657686399095866,0.022657941933538282,0.047521069758104814
ROI.07 [],-0.0469939627747499,0.01875611620037405,0.04678661822712035
ROI.08 [],-0.046130675699644484,0.024163636939153636,0.0746875089961237
ROI.09 [],0.006116653302533321,0.00571108953087003,0.03467210095688347
ROI.10 [],0.012260400736225596,0.011863750544189925,0.07157915345717522
ROI.11 [],0.039641544642810875,0.016886568052467164,0.12407438490514669
ROI.12 [],-0.11458710433685422,0.051303850888455044,0.14193215010542098
ROI.13 [],-0.0487741638077103,0.018963851551991446,0.04604509395224693
ROI.14 [],0.04113970655941145,0.016242058461762486,0.1223499988682239
ROI.15 [],0.030209330862293538,0.01336803637192349,0.09704951272191098
ROI.16 [],0.04278670763919959,0.017900776839230782,0.1322905918353535
ROI.17 [],0.009134365944076487,0.006943502769798869,0.043851879793070835
ROI.18 [],-0.1546701074833081,0.05762394812786721,0.13344963315602795
ROI.19 [],-0.03793293013744092,0.016191488836110806,0.04302451404311311
ROI.20 [],0.013819960771560722,0.008484877531670236,0.056244348429911904
ROI.21 [],0.01926351929415092,0.014601733493076318,0.09227218675953251
ROI.22 [],0.012607432526851287,0.010338337625498876,0.06429912065434568
ROI.23 [],-0.03907008512822249,0.01730398826097267,0.04744985617664085
ROI.000 [],0.10346129604332327,0.0422856500904732,0.31488954649568923
