ROI,n_latencies,mean_latency_s,median_latency_s,std_latency_s,min_latency_s,max_latency_s
ROI.02 [],3,0.0,0.0,0.0,0.0,0.0
ROI.05 [],8,20.280625,22.281000000000006,16.332253724895867,1.2779999999999916,48.27699999999999
ROI.09 [],3,0.0,0.0,0.0,0.0,0.0
ROI.10 [],3,0.0,0.0,0.0,0.0,0.0
ROI.11 [],3,0.0,0.0,0.0,0.0,0.0
ROI.12 [],11,19.87290909090909,19.28200000000001,14.920034489690485,1.2950000000000017,54.27699999999999
ROI.13 [],10,21.0835,19.78450000000001,14.703617114506212,2.2749999999999986,53.286
ROI.14 [],3,0.0,0.0,0.0,0.0,0.0
ROI.15 [],3,0.0,0.0,0.0,0.0,0.0
ROI.16 [],3,0.0,0.0,0.0,0.0,0.0
ROI.17 [],1,0.0,0.0,0.0,0.0,0.0
ROI.18 [],12,22.157999999999998,19.78450000000001,16.170923741909938,1.2950000000000017,54.27699999999999
ROI.19 [],8,21.467750000000002,19.54050000000001,16.494015246067278,1.7780000000000058,54.27699999999999
ROI.20 [],3,0.0,0.0,0.0,0.0,0.0
ROI.21 [],3,0.0,0.0,0.0,0.0,0.0
ROI.22 [],2,0.0,0.0,0.0,0.0,0.0
ROI.23 [],6,19.697666666666667,14.77900000000001,17.555628676359675,1.7780000000000058,54.27699999999999
