ROI,mean0,sd0,thr
ROI.01 [],-0.19143769739462507,0.0319998827521617,-0.031438283633816566
ROI.02 [],0.19672474765336967,0.0241194986805818,0.31732224105627865
ROI.03 [],-0.6873206340948012,0.15353406474657624,0.08034968963808009
ROI.04 [],-0.011281736339547344,0.012343474200566699,0.05043563466328615
ROI.05 [],-0.00472242122030379,0.010911906852025602,0.049837113039824216
ROI.06 [],-0.02193758648025459,0.010506828903234887,0.030596558035919843
ROI.07 [],-0.021392605072176434,0.007258482454535952,0.01489980720050333
ROI.08 [],-0.02606303798484376,0.014781836774446677,0.04784614588738963
ROI.09 [],0.06603277279098682,0.010904245994075402,0.12055400276136383
ROI.10 [],0.050173898244829276,0.00803542845410022,0.09035104051533038
ROI.11 [],0.060512505604612146,0.010291451889335482,0.11196976505128955
ROI.12 [],-0.01670582542221127,0.006883580749816241,0.01771207832686993
ROI.13 [],-0.005993705053593892,0.0038078895934860234,0.013045742913836225
ROI.14 [],0.023887750737865976,0.010469940320922078,0.07623745234247636
ROI.15 [],0.020699654931720112,0.005860509176552976,0.05000220081448499
ROI.16 [],0.01846891142711781,0.010788235217538168,0.07241008751480865
ROI.17 [],0.046864911776139453,0.007832417256340658,0.08602699805784275
ROI.18 [],-0.01838313162631653,0.009333367035599059,0.028283703551678765
ROI.19 [],-0.008869413354420675,0.0052399429878655585,0.017330301584907115
ROI.20 [],0.02702418731642975,0.006650686184368191,0.06027761823827071
ROI.21 [],0.08763364852272036,0.016922766276252877,0.17224747990398476
ROI.22 [],0.07706659012230528,0.010126493544703342,0.12769905784582197
ROI.23 [],-0.008986378519050545,0.004771318835954055,0.014870215660719732
