ROI,mean0,sd0,thr
ROI.01 [],0.19080510387894908,0.08760888666930654,0.6288495372254818
ROI.02 [],0.23205608967304306,0.12354466096642125,0.8497793945051493
ROI.03 [],0.5632492138807538,0.2789055194382185,1.9577768110718465
ROI.04 [],0.0295830950696664,0.0064945385176362665,0.062055787657847736
ROI.05 [],0.07513427188117248,0.008668639500625923,0.11847746938430209
ROI.06 [],0.05177379139629197,0.004387153146759568,0.07370955713008981
ROI.07 [],0.040954035329223454,0.009771132604387979,0.08980969835116334
ROI.08 [],0.04387500991196918,0.010812679064648925,0.0979384052352138
ROI.09 [],0.07734886543956729,0.01653588299802625,0.16002828042969852
ROI.10 [],0.08809891989458171,0.019440963264826753,0.1853037362187155
ROI.11 [],0.0647490890989436,0.029373928735128462,0.21161873277458593
ROI.12 [],0.05160708673546918,0.015658403315308354,0.12989910331201093
ROI.13 [],0.03234489746676375,0.005367595298975589,0.059182873961641694
ROI.14 [],0.027284034542210404,0.0064068462684093936,0.05931826588425737
ROI.15 [],0.037458053312654976,0.004668948765367151,0.06080279713949073
ROI.16 [],0.016436324339057017,0.006778014835068869,0.05032639851440136
ROI.17 [],0.11515432460545606,0.036428126075006104,0.2972949549804866
ROI.18 [],0.05983171406235628,0.018327816880812173,0.15147079846641714
ROI.19 [],0.025990345944531378,0.005170534046143816,0.05184301617525046
ROI.20 [],0.037467213776681815,0.012487991824573427,0.09990717289954895
ROI.21 [],0.06140774405390184,0.028032070488452458,0.20156809649616414
ROI.22 [],0.07735897919676261,0.01932083907621313,0.17396317457782826
ROI.23 [],0.032819058463146755,0.004534470945501846,0.05549141319065598
