Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.15 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 [],ROI.20 [],ROI.21 [],ROI.22 [],ROI.23 [],ROI.000 []
0.258,0.4858253148286218,0.5151573791883642,2.823015051928203,-0.031968966624178204,0.022556645410437854,0.062336268608210996,0.03718528973299942,0.04109380595103207,0.11162277066210403,0.1303624877096173,0.10509663510227998,0.01758283826017395,0.013742081057060337,0.023132187566120913,0.028414271190343687,0.025581745027899908,0.11396262059822662,0.042877404787775894,0.01725271264523474,0.058122326877371205,0.10503684813132774,0.1533249093198083,0.020471265484356006,0.0
0.778,0.46057594821029463,0.4695508776971144,2.5434353591329493,0.001075310715301878,0.015421469157032809,0.062460304671402005,0.04402242775659945,0.048225586717400445,0.11432012120902814,0.11709636660817005,0.07863959644271973,0.01444120761341871,0.01853245455356334,0.027468947077875682,0.026081543423127834,0.02923040271183818,0.09481020580957614,0.027045033547465756,0.009133288604715092,0.0467308791244214,0.09002264296732283,0.13411811571531965,0.019754359073513292,0.0
1.281,0.4312318204375776,0.4165666274527464,2.3115453563962904,0.0024703079274126126,0.018124436319257396,0.057009528749094616,0.03916187068626798,0.04875917701142718,0.09892293857949191,0.10710565846938973,0.06885377090630761,0.02437639292194862,0.021899108254994627,0.005425758009099675,0.008191687998856565,0.00631830340464753,0.08774089608773826,0.029751720215368867,0.01639399092000968,0.04943486802521387,0.0977507365287961,0.13195456131503952,0.018104684134095092,0.0
1.788,0.4560822513909682,0.4432864615842313,2.3312212907952032,0.009195999750279833,0.021488240737415856,0.06913633393902474,0.04755123886361101,0.062080053096083714,0.10018751777680288,0.10355584182436771,0.0912069205622275,0.03750429323436787,0.021954049098881663,0.026824023865193124,0.025206214524353898,0.039244705385162094,0.09248829778774319,0.0549880845443612,0.019539207445266247,0.0460955364585741,0.11727846727455139,0.13454281701563225,0.01652759094289274,0.0
2.276,0.39949907361803283,0.32797849835526766,2.133527236510358,0.022176897257672627,0.013792668357565995,0.05350316460462557,0.03307554623989294,0.04795238152692717,0.08846396053429187,0.08743996651580298,0.04599456787854534,0.015402980741905074,0.013445733178058604,0.022744880684451477,0.007665316507338742,0.005183783255724817,0.07023076810547638,0.017594736563212997,0.008372680228443568,0.04144068185882722,0.09634765447280391,0.1187837008853696,0.019277438927701354,0.0
2.776,0.3761488073528187,0.32828546377405154,1.9412176034288862,0.006737738779858674,0.01446360033624516,0.04135385738422492,0.030586930114167424,0.027516779205648736,0.09156804340978901,0.07875512344940651,0.0575882894509807,0.031380942894045034,0.012968139931458332,0.008357319293820196,0.019024090985578487,0.0010055859978040985,0.0547781900261702,0.028795192015906697,0.01075745958480909,0.03444603715174239,0.0946897566147876,0.10637348576005588,0.011141694384137646,0.0
3.293,0.35159696041640703,0.32717919859728817,1.6952521523926865,0.01916238449671685,0.004007157065733421,0.04403705473276111,0.02837133646572948,0.02131752152716408,0.08215747255659109,0.07834768523191998,0.07549755501375953,0.03210993701647229,0.012826126617312235,0.020293471727165585,0.022842947020090234,0.0035065545034631013,0.060836253398380814,0.029416371618725498,0.013992387995746931,0.03156693839505738,0.10348694618009581,0.11384128344116806,0.013920371891952091,0.0
3.777,0.3060466078070301,0.24820356544571173,1.4262252881967843,2.8049419625277927e-05,0.008662908011391366,0.032969183167049256,0.020728116558043266,0.02329989309554385,0.08097541909749055,0.07224735695586752,0.048671575603479955,4.5625317298173e-05,0.004125416099931948,0.007297940509855509,0.006253286976735529,-0.014386879040703699,0.044274917583687956,0.00060339788167653,0.006013657544243499,0.020182793051115304,0.073105965423927,0.09815286263600984,0.005267082944429131,0.0
4.275,0.3387623918823835,0.30827432229907087,1.3482147645749505,0.03289936202068352,0.034439036302613094,0.041690482634435415,0.032427925353133095,0.03530011651399528,0.07734613569842065,0.06839705378023478,0.06792954987131418,0.01313482481096427,0.01816398668247574,0.013016719478683646,0.02250324941518421,0.006395208188616515,0.049903769722490554,0.02987340253918066,0.0163216303383149,0.030415873303185136,0.1068574188113399,0.09770145465132812,0.02291734501588751,0.0
4.786,0.32453150323172086,0.26303166225968744,1.174243524916927,0.03325676539813658,0.036530097771228724,0.041820352609467655,0.039147437436411366,0.05091378970744514,0.08230079545748656,0.06741242623217866,0.05959714714829449,0.022434931855152655,0.014614129565946335,0.029600657311309717,0.0273543717948768,0.02617652356503588,0.05562438691042713,0.008166671306490935,0.019382771478183094,0.03790526211059719,0.08879294424192649,0.1048622999394994,0.024679771513823584,0.0
