Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.15 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 [],ROI.20 [],ROI.21 [],ROI.22 [],ROI.23 [],ROI.000 []
0.257,0.42149347295470607,0.2745167207652167,1.6499091911303674,0.043571814819789584,0.040245136509230256,0.09624124256239071,0.041448122129228625,0.06367426771192222,0.08775955860252306,0.09709316557418007,0.10398212969591243,0.039952956270581284,0.02575734604768281,0.022808606856376874,0.03557754309191916,0.023314979000669252,0.13592684507342506,0.05711746087069938,0.02403707291836068,0.06105237403926947,0.13083349726199164,0.1283785449056327,0.015509635077010798,0.0
0.777,0.3720417217178394,0.2972354205229046,1.4098179325201803,0.05877543545888227,0.04341019215557963,0.09612536143096338,0.03766330514330889,0.038151770006430046,0.07893550279504745,0.09049316133382863,0.1219120554950021,0.05102183324463741,0.0384191282276606,0.04356210555878423,0.04736025248194499,0.03748495091635864,0.1419871585921765,0.07157598230545303,0.030938850228955928,0.053202980608056887,0.12123612768752716,0.1248481696904743,0.02485453752260114,0.0
1.291,0.3064732494447272,0.2359065268980311,1.2604444691118033,0.04471084390707369,0.033958198122445216,0.08166674085573986,0.028666872893752946,0.02893284223947676,0.06600282347795246,0.0833888058795686,0.10501895508451872,0.0504644521173558,0.03582664197771568,0.03335995613287149,0.03730006258067052,0.02744185490318541,0.12456793564759638,0.06342980257220152,0.024397423035138303,0.042408350053730344,0.10493206986564965,0.10617811991180241,0.017415352664579786,0.0
1.776,0.2957516198415363,0.169943318583353,1.2011407208350702,0.051358160709611175,0.02510663643400925,0.08123276618986297,0.03581196148161651,0.06073058394006572,0.06624904267326734,0.06820811263113384,0.09966779425327807,0.0592807684474126,0.027625449634203606,0.034227124577243154,0.03805366746504367,0.02793745031455786,0.11511466210462497,0.06403915455211413,0.02328978290453308,0.036738100293207836,0.10476085940019206,0.1052341715573624,0.014790792305744418,0.0
2.286,0.28049058444219116,0.12090017004095664,1.1508654755759353,0.040003479056655945,0.030361331068449175,0.06241304353511185,0.02736100899267483,0.03496136404654858,0.058541106336320904,0.05174308737865814,0.07955432955668863,0.02951708983803347,0.02122672247935663,0.014970681689864901,0.028335097189077667,0.025918529487905847,0.10290354321832339,0.04275914278828031,0.02182105493669924,0.02804846563150794,0.08135026013761912,0.08126311439478834,0.015096918856339625,0.0
2.777,0.275770649089234,0.09005640011937921,1.1223381180371126,0.037463743696968595,0.031381991618685816,0.05790166388126919,0.026848993364541458,0.0409113773289777,0.05258510886601583,0.04750205258797371,0.06945590833745674,0.03806870174913315,0.025442979114917826,0.014927377715243108,0.03241978861052143,0.016660382929788824,0.09875023846426427,0.04678815899904829,0.02225200334020891,0.022794964093509878,0.060345058830943224,0.07928559093845525,0.014647099927599825,0.0
3.287,0.26531657670419906,0.07441082740487691,1.050594372507469,0.04344886932621251,0.030696251652144756,0.06250160789424881,0.03193776694023356,0.031146712801274793,0.053927838410566635,0.04233960584792265,0.08417491458793198,0.05358534121960882,0.031068021674977676,0.03286491381929552,0.04165819263488995,0.03200586294490751,0.09872052824330607,0.06305247893383456,0.028955174374293912,0.03134028543735782,0.07331798537145869,0.08240287589832955,0.020626413568597138,0.0
3.777,0.19638587612944455,0.04623478102575588,0.6882968802775077,0.03970439217933745,0.03979059189539196,0.056649074566454134,0.03195230236135136,0.05592698564127287,0.04496969484250421,0.03378425021019102,0.05606404712308694,0.035748937245298755,0.022953128462240138,0.034020471011722835,0.03134790400999549,0.020862543285044995,0.08836127891110782,0.03531531223339925,0.026836038514558874,0.02583690534037845,0.04363928185546229,0.07043614282282167,0.01983719577240886,0.0
4.276,0.158105529239401,0.043911634272331135,0.5878287271385783,0.04125519346991061,0.03154902738841294,0.056990314899274,0.04076178852815964,0.06166009946099527,0.044281316560839334,0.03170388835308056,0.06702116899869576,0.04569047021164429,0.02589801269779141,0.03226351509355473,0.04105612775918119,0.021797436271120466,0.09217698920364034,0.05079399208329772,0.030052790528376127,0.015543777644829383,0.03195342522839504,0.05986375645094126,0.02047371872330234,0.0
4.777,0.1484897640295003,0.05253773053307147,0.5578301127624429,0.04620693995102786,0.020223009565928058,0.058268812274340186,0.03530390331988276,0.0667224824741748,0.04278689301942221,0.03258542095056738,0.0725989800095902,0.03352304867520657,0.02119762887762338,0.032112524712362915,0.040753092383648014,0.027686591945037767,0.08755082918893158,0.040140830253251054,0.023420260561156123,0.02011130412361717,0.047865267612326845,0.060720360199753444,0.015214533115823655,0.0
