Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.15 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 [],ROI.20 [],ROI.21 [],ROI.22 [],ROI.23 [],ROI.000 [],ROI.24 [],ROI.25 []
0.257,,0.050432469370073535,0.2878829432869384,0.013366803218939799,0.014859868143191748,-0.03521032649722961,0.017004690611275717,0.013531315202602832,0.0330748022364497,0.03823290097337348,0.008134888621651232,0.006995705266307301,0.006432664530510235,-0.014969037454125101,-0.01129432430056986,-0.00930393397806955,0.014491789907508358,-0.00043803612642903753,0.011866724440042139,0.011163701788595316,0.061417397791452916,0.018366803229700163,0.013596932350660463,0.013213037655051421,0.3448488241303264,-0.007024473698480711
0.783,,0.029623726748844847,0.21750265360934148,-0.006497113972908359,-0.024567249860453923,-0.028815469940638168,0.006107837194274023,0.012766036947911692,0.029172827866619393,0.03591194046256912,-0.004588104815990991,0.021828277302721258,0.00012960916464732866,-0.008201851734476087,-0.0013209034457710976,-0.0036989695270556377,0.01295881717118962,0.007829143964305167,0.0005421905393228264,0.007849745825289878,0.03277606917840314,0.019543634337607894,-0.001891606535029693,0.0014201139115176278,0.2671632061044098,0.0045366283804612354
1.277,,0.03886725717163277,0.15010105936398285,0.014524086532155084,-0.024603899539883515,-0.00921527907944301,0.0012015134304692882,-0.0006251316504700684,0.02327673261105793,0.025527055415207823,-0.0066404904408922235,0.02627861865304711,0.01015475815026618,-0.0040223166842439755,-0.0025221566767705925,-0.01114369724638245,0.008210491304462919,0.027809341220783396,0.004191465423954138,-0.0002974868120786288,0.026704121811085835,0.003619875185253938,0.0017460983400274417,0.0006863575710994473,0.14686720561185776,-0.008618369848007467
1.787,,0.04234561142834845,0.1493574754715428,-0.008236401855303511,-0.014141963485158674,-0.004223748981989906,-0.0009014961260862617,-0.01687367291323086,0.02090158749524279,0.02763677273730495,-0.006758370948703734,-0.007925613681969526,-9.721107330087645e-05,0.003012698171143595,0.0009902415798232814,0.0027708107637649687,0.007534525897606232,0.00041235429597011346,-0.0004067164104220925,-0.0012260879437162322,0.021567015637068636,0.001959999982195962,0.002935905317464305,-0.000514885976954042,0.2058357642024587,-0.001268103800976979
2.278,,0.039261564918853374,0.13998223281794037,-0.028882974870371617,-0.04179187437901203,-0.015003429298385726,-0.018584067563154946,-0.03815001655396183,0.021625513046837522,0.02762562405459526,0.002670268739562779,-0.034008737873607975,-0.01887798663076988,0.007109858103229333,0.012492816480752164,0.019968139979901368,0.011371281144428435,-0.042195357546434414,-0.01535908540963711,0.0007715506212053058,0.023655856286457968,0.01079821625424904,-0.016841676144111355,-0.018354967975193412,0.3870307359287643,0.0005547074845937798
2.778,,0.03521042614903266,0.09660284507847146,-0.035613567779470126,-0.04432429174343802,-0.016014227778734246,-0.02934707713650038,-0.046497537158446726,0.019321558699095593,0.025012940849978547,0.017790097493268132,-0.06690556027028677,-0.03113262769208785,0.025016665847426508,0.020470310318347125,0.03155091740490413,0.021838705963100273,-0.09365149780354996,-0.027850503047965935,-0.0004991931074928236,0.03091535285674324,0.012404469609524621,-0.02857643880808444,-0.02548850622695155,0.37189573932177816,0.010497532392876006
3.284,,0.023096834156162108,0.08833819875661951,-0.03774471328212111,-0.05647885781979246,-0.025291481212197677,-0.03814010716298272,-0.051157566657755484,0.017221833778952464,0.02170515632682834,0.010581543444942474,-0.08545141367440616,-0.03694607607153572,0.020286271269511148,0.02138373676891298,0.036721005874251554,0.02068088968330936,-0.1058227488591052,-0.03047814943252732,7.43532704217553e-05,0.03049837313381485,0.014045318102514517,-0.031310319113123986,-0.029821663335393583,0.35485987320909285,0.0071833139418556275
3.779,,0.03592942916020397,0.06895097764060514,-0.05133296201180314,-0.06629008540772453,-0.0409294825439114,-0.04310406052168932,-0.06079479163561043,0.020649062663381467,0.0339292977626919,0.01828401194554758,-0.12464866397031239,-0.05054980777666303,0.032881913480175905,0.028377897282987452,0.04424327640317559,0.02584622348293773,-0.14002710826520637,-0.04221179532707175,0.0073073355553924324,0.020477117312702593,0.013491224553166425,-0.04178882272257609,-0.0392626579537754,0.32809030911757003,0.0069202793043176124
4.278,,0.03179744637816097,0.17757956979495304,-0.047974414298623,-0.07873837372288041,-0.04738653388051713,-0.04282250132836374,-0.05283931449139553,0.023941189517053447,0.034756277721758426,0.025110343524357447,-0.12131761761651204,-0.056406350341471255,0.04234928268406306,0.03749340567047606,0.052995748797996275,0.02473634091968971,-0.1624612493774536,-0.05096158656436315,0.011138425645910487,0.02107408448947217,0.02356972105296098,-0.04468546576515926,-0.04342811450827203,0.2873324731283929,0.013626432365583772
4.78,,0.044579892564086517,0.14855514645037682,-0.05738335553636209,-0.07081369610039394,-0.04402455786109884,-0.048666482097705535,-0.05998684218838335,0.021467625953478984,0.03536564118903424,0.02849256885235481,-0.11503366269946923,-0.05425271987489628,0.034602076241028956,0.035017682990252035,0.044791198913248786,0.014829002294748327,-0.1659924598512912,-0.04796826498776833,0.010885468358203716,0.04588202088775565,0.03377401458887042,-0.04090856541686112,-0.04457165853590146,0.20426342859307914,0.015461221078992579
