Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.15 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 [],ROI.20 [],ROI.21 [],ROI.22 [],ROI.23 [],ROI.000 [],ROI.24 [],ROI.25 []
0.258,0.13884629091354253,0.11041129669513822,0.15098985714070387,-0.04264660914202698,0.029121900410623656,0.15961651919828643,0.142976551931824,0.12785341575340964,0.06398846947746802,0.07555802742693742,0.03494413103523048,0.03065620131826298,0.06738048821441264,0.011343191566393823,0.013699994039520106,0.010768060931253076,0.05474045632267832,0.04470405962340717,0.12831971398814868,0.032192366601446844,0.047494018942541,0.08180536722917457,0.1382190509953757,,0.09196357726896129,0.022572585661819498
0.778,0.12755479271342254,0.09349670960458907,0.13866571542820919,0.0022545930993680403,0.014456419456284264,0.14597772439725615,0.14999323913382986,0.14032082340383945,0.06299763417297607,0.06555946206745406,0.023479569701843114,0.019303076146934207,0.06542874966609276,0.010109467853290545,0.009173950730106262,0.009086895061942372,0.04383013621485677,0.026128022651612046,0.054953302379070486,0.024004800118643633,0.03780519898109295,0.0685671254205253,0.11027330976236444,,0.07428342430676062,0.017959391002559978
1.281,0.12514925368008917,0.08774756164681365,0.13024049893152598,0.01591446927540943,0.025867278712925053,0.14778466276490504,0.1525401727824237,0.1580807545604645,0.05604519891636069,0.061887242571393705,0.023968301745858102,0.03819746828940711,0.0946077557842006,0.00612910044055598,0.00588291317867294,0.005960171525989592,0.04277827568354564,0.03619568899111044,0.13150662047599485,0.027584503831420817,0.04249863781527999,0.07027589361470961,0.1306566156379089,,0.0622075310142935,0.01950453988070987
1.788,0.12064447634252919,0.08356459828999943,0.14011028319036128,-0.002402732432407874,0.008695163669494934,0.14137029965666276,0.1434417991936319,0.16120908169169024,0.052120663317884404,0.05543488219396596,0.02461329017485992,0.02930176469128387,0.05061071766232363,0.005150791612837679,0.005422798419878474,0.007111409419875071,0.0407309487388034,0.03698496754407706,0.0786005976711442,0.021196213434494137,0.04422010687176234,0.06688012246190538,0.05627399977921602,,0.053985432134235074,0.014333164669863695
2.276,0.11665528882608044,0.06832418631629017,0.13754788435839532,0.04391254516074881,0.01970299349936986,0.13706567765510463,0.13538708587446005,0.15671057878222805,0.04993403419048331,0.05076144671914128,0.018209555957357668,0.02563393318712807,0.06268016993847302,0.01030238794820777,0.005303784980321101,0.004593990045166867,0.03576137020114667,0.02366066798024235,0.07713865064771128,0.023649874304098425,0.04126161161110179,0.06327932512624539,0.13494078120845354,,0.05236243720989652,0.014370691600653945
2.776,0.10731988438968705,0.06464303372336848,0.12270177910546118,0.005835999469051183,0.010856348389511643,0.09713346179059183,0.10503266248189858,0.07864065500294938,0.051160332746830836,0.0436830052812861,0.016825004735888948,0.0325108247823355,0.041974847311185934,0.0025409461144471793,0.005514879828723385,9.200210761923095e-05,0.026371953498815087,0.02362776053108591,0.05878340793840119,0.0177276166938199,0.03695356807135892,0.054123381829477304,0.05281809304579826,,0.042693405895573085,0.011155192336842208
3.293,0.10012972219110818,0.06318878692256934,0.11085533620119001,0.022047342255542012,-0.0007822233258499605,0.09830273801228019,0.08811850037860414,0.06374949983490659,0.04615900187603916,0.04319061949154064,0.020978841076487655,0.03101712487436061,0.03584852949407389,0.005657390156241289,0.006452659476283565,-0.0002891342805385023,0.027207656711928787,0.021673525858110942,0.07843449479850799,0.015260554797377597,0.04167122170148681,0.060140889139266906,0.0636076274335571,,0.036088509535006016,0.011017065600325232
3.777,0.09853629921805195,0.05445345907412668,0.10476436179622264,0.01294190501383792,0.021204173143484904,0.10154888301622761,0.10529350620156787,0.10447906376088126,0.04924850573059657,0.04492556052996844,0.01944609202182084,0.01556887002509057,0.04440133399010135,0.007469625081389203,0.006197343656668634,0.0013527866048270042,0.02447637613128305,0.0140034429450254,0.09730111056847901,0.013773727693839622,0.03586870457707398,0.05655519807158954,0.07448289772858734,,0.02784657183892637,0.009529139666832562
4.275,0.08719104111983665,0.05341282977058348,0.08236951024973917,0.02468844934007382,0.014978588966020983,0.06916526924655717,0.07392447141928417,0.07618333335752851,0.03994731970012751,0.035545139582165375,0.013491860310426351,-0.0036302812419727127,0.021695901636463615,-0.0018015910318365537,0.0014684201245486327,-0.004656577153002052,0.018177339528432528,0.008571810240455231,0.045868970389197475,0.010631828914625727,0.03997330174647716,0.04846535521199868,0.06746692967487607,,0.013568032413225573,0.01051897815548678
4.786,0.09618819901761051,0.04760760725216302,0.0904525345552424,0.03825900423565243,0.027063001958903325,0.08535035565326789,0.12602187157725075,0.14143871045624318,0.04483091931726891,0.03596641292898324,0.014225704198403051,0.014759138917874457,0.03099229053208616,0.006754510121050629,0.006548666701070645,0.004320608938604992,0.024498747341296197,-1.06417873780617e-05,0.09346841096247813,0.01609008152521944,0.03565832679795551,0.0526070828183203,0.11902409969863269,,0.02201854153768489,0.010505244828163063
