ROI,mean0,sd0,thr
ROI.01 [],0.06634101607734794,0.009697772255638396,0.11482987735553991
ROI.02 [],0.04182355629242019,0.004215876910040117,0.06290294084262077
ROI.03 [],0.07531256518509853,0.008656298071256431,0.1185940555413807
ROI.04 [],0.02264183013279974,0.02152393310384065,0.13026149565200298
ROI.05 [],0.010654966439260134,0.007505684088304462,0.04818338688078244
ROI.06 [],0.06723513295458242,0.02075776151768848,0.1710239405430248
ROI.07 [],0.10205465217305637,0.027020994112234718,0.23715962273422997
ROI.08 [],0.10940098053776216,0.04169346664206546,0.3178683137480895
ROI.09 [],0.03884843480474059,0.005207943524605111,0.06488815242776613
ROI.10 [],0.030065816020403355,0.004307405749405325,0.05160284476742998
ROI.11 [],0.019523005578371912,0.0027144543826956623,0.03309527749185022
ROI.12 [],0.02502300674444792,0.010413406750948848,0.07709004049919216
ROI.13 [],0.03558837039187256,0.011990135728944815,0.09553904903659663
ROI.14 [],0.010699272617949288,0.0019676054239072113,0.020537299737485346
ROI.15 [],0.009387943917830955,0.0014646333486922315,0.016711110661292113
ROI.16 [],0.008157849476221212,0.003300478482716866,0.02466024188980554
ROI.17 [],0.02496509658015124,0.00294007710495473,0.03966548210492489
ROI.18 [],0.022618808552444598,0.007997007657339766,0.06260384683914343
ROI.19 [],0.09145605588585126,0.02375861327940638,0.21024912228288317
ROI.20 [],0.01598995737435605,0.002684413877119243,0.029412026759952265
ROI.21 [],0.038863821913479875,0.007043325575173048,0.07408044978934511
ROI.22 [],0.042078893962849334,0.0048213770058845315,0.06618577899227199
ROI.23 [],0.08669697223983878,0.018157665512002347,0.1774852997998505
ROI.24 [],0.018399529241363313,0.006310843948470161,0.049953748983714116
ROI.25 [],0.013531569994376892,0.0036774683592337284,0.03191891179054553
