ROI,mean0,sd0,thr
ROI.01 [],0.03444669647475406,0.01556465197362231,0.1122699563428656
ROI.02 [],0.03899375357398376,0.009696327496033205,0.08747539105414978
ROI.03 [],0.04160257647185505,0.017182169694024425,0.12751342494197718
ROI.04 [],0.042324526937663504,0.009736532606082843,0.09100718996807772
ROI.05 [],0.006723123155141053,0.004323536644960038,0.028340806379941245
ROI.06 [],0.08723540880450294,0.019537999365591828,0.18492540563246207
ROI.07 [],0.045412106261862324,0.02228099606089583,0.15681708656634147
ROI.08 [],0.046190719789639,0.030949915166588734,0.20094029562258264
ROI.09 [],0.016027565876964155,0.006029397610788807,0.04617455393090819
ROI.10 [],0.010177433234983409,0.0038137535409511116,0.029246200939738967
ROI.11 [],0.018264647483336532,0.006794601445157008,0.052237654709121575
ROI.12 [],0.04040783115026811,0.013584162741247179,0.10832864485650401
ROI.13 [],0.05470653981436004,0.016720278392302366,0.13830793177587186
ROI.14 [],0.007421664254692933,0.00301663291375709,0.02250482882347838
ROI.15 [],0.009378225726015812,0.0028101585263793495,0.02342901835791256
ROI.16 [],0.005320018239545362,0.002849034340309404,0.01956518994109238
ROI.17 [],0.035731524547050635,0.0027446884763194677,0.049454966928647974
ROI.18 [],0.033036390023503566,0.009777773043969065,0.0819252552433489
ROI.19 [],0.09508958043986505,0.029066501146353903,0.24042208617163457
ROI.20 [],0.006174309103325748,0.0041608554904816195,0.026978586555733847
ROI.21 [],0.01934295789606625,0.0077926778392207454,0.058306347092169974
ROI.22 [],0.017942850024680903,0.006319068832856487,0.04953819418896334
ROI.23 [],0.0365293503540725,0.024958429372139282,0.1613214972147689
ROI.24 [],0.04205440943244038,0.018012838552349635,0.13211860219418856
ROI.25 [],0.010448883318586812,0.0038007636556059757,0.02945270159661669
