ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.01 [],41.794,0.0,30,50
ROI.01 [],80.777,0.0,80,100
ROI.01 [],104.776,4.775999999999996,80,100
ROI.01 [],125.777,25.777,80,100
ROI.01 [],159.277,9.276999999999987,130,150
ROI.02 [],48.278,0.0,30,50
ROI.02 [],99.277,0.0,80,100
ROI.02 [],143.284,0.0,130,150
ROI.03 [],53.276,3.2760000000000034,30,50
ROI.03 [],80.777,0.0,80,100
ROI.03 [],108.787,8.787000000000006,80,100
ROI.03 [],130.776,0.0,130,150
ROI.03 [],158.794,8.794000000000011,130,150
ROI.04 [],41.794,0.0,30,50
ROI.04 [],63.287,13.286999999999999,30,50
ROI.04 [],113.283,13.283000000000001,80,100
ROI.04 [],142.294,0.0,130,150
ROI.04 [],163.788,13.788000000000011,130,150
ROI.05 [],30.276,0.0,30,50
ROI.05 [],53.276,3.2760000000000034,30,50
ROI.05 [],79.786,29.786,30,50
ROI.05 [],106.775,6.775000000000006,80,100
ROI.05 [],131.285,0.0,130,150
ROI.05 [],153.777,3.776999999999987,130,150
ROI.06 [],34.776,0.0,30,50
ROI.06 [],99.277,0.0,80,100
ROI.06 [],150.277,0.2769999999999868,130,150
ROI.07 [],31.277,0.0,30,50
ROI.07 [],52.276,2.2760000000000034,30,50
ROI.07 [],80.777,0.0,80,100
ROI.07 [],109.277,9.277000000000001,80,100
ROI.07 [],123.287,23.287000000000006,80,100
ROI.07 [],136.289,0.0,130,150
ROI.07 [],162.777,12.776999999999987,130,150
ROI.08 [],54.28,4.280000000000001,30,50
ROI.08 [],80.777,0.0,80,100
ROI.08 [],101.777,1.777000000000001,80,100
ROI.08 [],130.277,0.0,130,150
ROI.08 [],152.776,2.7760000000000105,130,150
ROI.09 [],48.776,0.0,30,50
ROI.09 [],90.776,0.0,80,100
ROI.09 [],140.276,0.0,130,150
ROI.10 [],38.276,0.0,30,50
ROI.10 [],90.776,0.0,80,100
ROI.10 [],140.276,0.0,130,150
ROI.11 [],97.782,0.0,80,100
ROI.11 [],143.284,0.0,130,150
ROI.12 [],37.276,0.0,30,50
ROI.12 [],99.277,0.0,80,100
ROI.12 [],151.277,1.2769999999999868,130,150
ROI.13 [],32.276,0.0,30,50
ROI.13 [],89.776,0.0,80,100
ROI.13 [],141.777,0.0,130,150
ROI.14 [],51.777,1.777000000000001,30,50
ROI.14 [],80.777,0.0,80,100
ROI.14 [],106.775,6.775000000000006,80,100
ROI.14 [],131.285,0.0,130,150
ROI.14 [],155.788,5.788000000000011,130,150
ROI.15 [],51.777,1.777000000000001,30,50
ROI.15 [],80.777,0.0,80,100
ROI.15 [],105.783,5.783000000000001,80,100
ROI.15 [],131.285,0.0,130,150
ROI.15 [],153.777,3.776999999999987,130,150
ROI.16 [],51.777,1.777000000000001,30,50
ROI.17 [],51.777,1.777000000000001,30,50
ROI.17 [],81.277,0.0,80,100
ROI.17 [],106.775,6.775000000000006,80,100
ROI.17 [],131.285,0.0,130,150
ROI.17 [],153.777,3.776999999999987,130,150
ROI.18 [],48.776,0.0,30,50
ROI.18 [],89.776,0.0,80,100
ROI.18 [],140.276,0.0,130,150
ROI.19 [],63.778,13.777999999999999,30,50
ROI.19 [],113.784,13.784000000000006,80,100
ROI.19 [],164.276,14.27600000000001,130,150
ROI.20 [],48.776,0.0,30,50
ROI.20 [],90.776,0.0,80,100
ROI.20 [],138.276,0.0,130,150
ROI.21 [],51.277,1.277000000000001,30,50
ROI.21 [],85.776,0.0,80,100
ROI.21 [],135.278,0.0,130,150
ROI.22 [],54.28,4.280000000000001,30,50
ROI.22 [],80.777,0.0,80,100
ROI.22 [],108.787,8.787000000000006,80,100
ROI.22 [],130.776,0.0,130,150
ROI.22 [],155.788,5.788000000000011,130,150
ROI.23 [],37.276,0.0,30,50
ROI.23 [],101.278,1.2780000000000058,80,100
ROI.23 [],151.277,1.2769999999999868,130,150
ROI.24 [],33.777,0.0,30,50
ROI.24 [],93.776,0.0,80,100
ROI.24 [],150.277,0.2769999999999868,130,150
ROI.25 [],49.779,0.0,30,50
ROI.25 [],89.776,0.0,80,100
ROI.25 [],141.278,0.0,130,150
