ROI,mean0,sd0,thr
ROI.01 [],0.026802223971327737,0.02453456888030886,0.12494049949256318
ROI.02 [],0.04899072569524806,0.011666616604370529,0.09565719211273017
ROI.03 [],0.04302065691440245,0.03458880610863625,0.18137588134894744
ROI.04 [],0.008847152712157646,0.0057542355970475745,0.03186409510034795
ROI.05 [],0.026604819866565012,0.0066564118084419255,0.05323046710033272
ROI.06 [],0.007332320400910543,0.00805697767741357,0.03956023111056482
ROI.07 [],0.010419964175048405,0.01702432292838623,0.07851725588859333
ROI.08 [],0.07138307463443858,0.059433682919678814,0.30911780631315383
ROI.09 [],0.011130477712237985,0.005508946064211415,0.03316626196908364
ROI.10 [],0.007527542101017174,0.0020066861586526493,0.015554286735627771
ROI.11 [],0.008940955454261873,0.0025565417172411366,0.01916712232322642
ROI.12 [],0.01135100278569595,0.005179622178281127,0.032069491498820456
ROI.13 [],0.02365456557790304,0.006453810378151477,0.04946980709050895
ROI.14 [],0.001991865195167333,0.00140479310309212,0.007611037607535813
ROI.15 [],0.0038227352899860593,0.0021378031904779457,0.012373948051897843
ROI.16 [],0.00259922045182518,0.0017061965928975267,0.009424006823415286
ROI.17 [],0.0034404377355436396,0.002175971916397501,0.012144325401133643
ROI.18 [],0.013322869421205915,0.003655148669938896,0.027943464100961497
ROI.19 [],0.05718427626826041,0.0277466025088558,0.16817068630368362
ROI.20 [],0.008290351159791846,0.003433730613356311,0.02202527361321709
ROI.21 [],0.020637357026102025,0.01032528169761175,0.061938483816549025
ROI.22 [],0.0088431046487204,0.003927985642126576,0.024555047217226705
ROI.23 [],0.0552737916203319,0.026957821477091547,0.16310507752869807
ROI.24 [],0.02940026587881469,0.0062432573519956925,0.05437329528679746
ROI.25 [],0.0026562354146451375,0.0017963379494426107,0.00984158721241558
