ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.07 [],119.778,39.778000000000006,80,100
ROI.07 [],180.776,50.77600000000001,130,150
ROI.07 [],186.287,56.287000000000006,130,150
ROI.08 [],119.278,39.278000000000006,80,100
ROI.11 [],53.278,23.278,30,50
ROI.11 [],73.278,43.278000000000006,30,50
ROI.16 [],71.287,41.287000000000006,30,50
ROI.20 [],50.777,20.777,30,50
ROI.20 [],73.278,43.278000000000006,30,50
ROI.20 [],125.277,45.277,80,100
ROI.20 [],169.778,39.77799999999999,130,150
ROI.23 [],160.285,30.284999999999997,130,150
