ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.04 [],50.275,20.275,30,50
ROI.04 [],54.784,24.784,30,50
ROI.04 [],102.286,22.286,80,100
ROI.04 [],150.277,20.276999999999987,130,150
ROI.04 [],156.276,26.27600000000001,130,150
ROI.05 [],51.777,21.777,30,50
ROI.05 [],79.785,49.785,30,50
ROI.05 [],104.3,24.299999999999997,80,100
ROI.05 [],127.786,47.786,80,100
ROI.05 [],150.277,20.276999999999987,130,150
ROI.06 [],51.777,21.777,30,50
ROI.06 [],79.785,49.785,30,50
ROI.06 [],104.3,24.299999999999997,80,100
ROI.06 [],127.786,47.786,80,100
ROI.06 [],150.277,20.276999999999987,130,150
ROI.09 [],50.275,20.275,30,50
ROI.09 [],55.278,25.278,30,50
ROI.09 [],100.277,20.277,80,100
ROI.09 [],150.277,20.276999999999987,130,150
ROI.09 [],156.778,26.77799999999999,130,150
