ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.02 [],75.298,45.298,30,50
ROI.02 [],121.278,41.278000000000006,80,100
ROI.02 [],127.277,47.277,80,100
ROI.02 [],156.777,26.776999999999987,130,150
ROI.03 [],76.789,46.789,30,50
ROI.03 [],102.276,22.275999999999996,80,100
ROI.03 [],106.278,26.278000000000006,80,100
ROI.03 [],126.788,46.788,80,100
ROI.03 [],157.787,27.787000000000006,130,150
ROI.07 [],51.779,21.779000000000003,30,50
ROI.07 [],77.278,47.278000000000006,30,50
ROI.07 [],125.776,45.775999999999996,80,100
ROI.07 [],162.278,32.27799999999999,130,150
