ROI,mean0,sd0,thr
ROI.01 [],0.11241752989819684,0.05098914616711495,0.26538496839954173
ROI.02 [],0.02832558746871556,0.014882028691736202,0.07297167354392417
ROI.04 [],0.037041955987142584,0.027946437406629415,0.12088126820703082
ROI.05 [],0.03323218150373328,0.02306225889481757,0.10241895818818599
ROI.03 [],0.08013876590438666,0.03877237172716603,0.19645588108588474
ROI.06 [],0.13408229975102132,0.06377367872759285,0.3254033359337999
ROI.07 [],0.3409948776601346,0.20549623063977393,0.9574835695794564
ROI.08 [],0.658720790776098,0.30099814720941187,1.5617152324043335
ROI.09 [],0.025200248430467042,0.014418228808604792,0.06845493485628142
ROI.10 [],0.02337599158667932,0.01585799483665561,0.07094997609664615
ROI.11 [],0.02820947946646527,0.018464833475432776,0.0836039798927636
ROI.12 [],0.11295481655757775,0.04137007773277786,0.2370650497559113
ROI.13 [],0.5621538059573512,0.3984253673760954,1.7574299080856375
ROI.14 [],0.07984653872336207,0.034971030678124994,0.18475963075773705
