ROI,mean0,sd0,thr
ROI.01 [],0.03387557347633788,0.03022334162715271,0.12454559835779601
ROI.02 [],0.021156735630354292,0.01412631898166669,0.06353569257535435
ROI.04 [],0.07854907170661302,0.05311715654243163,0.23790054133390792
ROI.05 [],0.028417081901947003,0.01916864151064175,0.08592300643387225
ROI.03 [],0.03153277651072805,0.02661793762308437,0.11138658937998117
ROI.06 [],0.047317385101508465,0.04359935722940787,0.17811545678973206
ROI.07 [],0.10656056100935374,0.08530455614520538,0.3624742294449699
ROI.08 [],0.05531495209577651,0.043696293289301795,0.18640383196368188
ROI.09 [],0.03456301484797915,0.021433916063088296,0.09886476303724404
ROI.10 [],0.02161821598237889,0.012745736490933744,0.05985542545518012
ROI.11 [],0.049746624798822664,0.034671947440321864,0.15376246711978825
ROI.12 [],0.06925611379333227,0.03248074219891657,0.16669834039008197
ROI.13 [],0.21573713256565066,0.13277116208431347,0.614050618818591
ROI.14 [],0.09650465915339754,0.059866020917379775,0.27610272190553686
