ROI,mean0,sd0,thr
ROI.01 [],0.07872278937583739,0.03164306938845601,0.17365199754120542
ROI.02 [],0.013971295268408679,0.00949405850614296,0.04245347078683756
ROI.04 [],0.017146215508375577,0.013400612413719176,0.057348052749533106
ROI.05 [],0.02013446766496055,0.011591114713988156,0.054907811806925014
ROI.03 [],0.03942797210840454,0.02817813498328983,0.12396237705827402
ROI.06 [],0.13246361574821927,0.040059980130194066,0.25264355613880146
ROI.07 [],0.12227493066272938,0.07718256022269435,0.3538226113308124
ROI.08 [],0.40991716709244475,0.49208630339402354,1.8861760772745155
ROI.09 [],0.009940796346307387,0.007296750383740321,0.03183104749752835
ROI.10 [],0.014255122576227847,0.008108558908242183,0.03858079930095439
ROI.11 [],0.024405588794885653,0.012979653097899843,0.06334454808858518
ROI.12 [],0.019222590961368288,0.014988534497665743,0.06418819445436552
ROI.13 [],0.0960251959941092,0.07255413859722142,0.3136876117857734
ROI.14 [],0.031991414471035505,0.015433065265202972,0.07829061026664441
