ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.01 [],30.107999999999993,0.0,30,50
ROI.01 [],80.10799999999998,0.0,80,100
ROI.01 [],130.108,0.0,130,150
ROI.02 [],30.107999999999993,0.0,30,50
ROI.02 [],80.10799999999998,0.0,80,100
ROI.02 [],130.108,0.0,130,150
ROI.04 [],37.60799999999999,0.0,30,50
ROI.04 [],87.60799999999998,0.0,80,100
ROI.04 [],137.608,0.0,130,150
ROI.05 [],41.507999999999996,0.0,30,50
ROI.05 [],91.50799999999998,0.0,80,100
ROI.05 [],141.50799999999998,0.0,130,150
ROI.03 [],30.107999999999993,0.0,30,50
ROI.03 [],80.10799999999998,0.0,80,100
ROI.03 [],130.108,0.0,130,150
ROI.06 [],30.107999999999993,0.0,30,50
ROI.06 [],80.10799999999998,0.0,80,100
ROI.06 [],130.108,0.0,130,150
ROI.07 [],34.408,0.0,30,50
ROI.07 [],84.40799999999997,0.0,80,100
ROI.07 [],134.40799999999996,0.0,130,150
ROI.08 [],31.907999999999994,0.0,30,50
ROI.08 [],81.90799999999999,0.0,80,100
ROI.08 [],151.00799999999998,1.0079999999999814,130,150
ROI.09 [],41.10799999999999,0.0,30,50
ROI.09 [],91.10799999999998,0.0,80,100
ROI.09 [],141.10799999999998,0.0,130,150
ROI.10 [],33.80799999999999,0.0,30,50
ROI.10 [],83.80799999999998,0.0,80,100
ROI.10 [],133.808,0.0,130,150
ROI.11 [],30.107999999999993,0.0,30,50
ROI.11 [],80.10799999999998,0.0,80,100
ROI.11 [],130.108,0.0,130,150
ROI.12 [],41.30799999999999,0.0,30,50
ROI.12 [],91.30799999999998,0.0,80,100
ROI.12 [],141.308,0.0,130,150
ROI.13 [],30.107999999999993,0.0,30,50
ROI.13 [],80.10799999999998,0.0,80,100
ROI.13 [],130.108,0.0,130,150
ROI.14 [],30.107999999999993,0.0,30,50
ROI.14 [],80.10799999999998,0.0,80,100
ROI.14 [],130.108,0.0,130,150
