Time (s),ROI.01 [],ROI.02 [],ROI.000 [],ROI.04 [],ROI.05 [],ROI.03 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 []
0.258,0.4301139275067987,0.4606659273067492,0.0,0.8948152003515438,0.40584329928963214,0.3076678783757876,0.7061795089704479,1.7648276610443487,-0.05955449030753032,0.33764224280544775,0.29536178480696984,0.8674131969772955,0.8102271263459822,2.174582463898026,0.9421639770532098
0.786,0.5660160682364987,0.5448209153794591,0.0,0.9173612794756665,0.5173827493778738,0.3367091943035677,0.9199616791425086,1.8964978885348953,0.11845648875351826,0.37700881206529385,0.3594488909352613,0.8789915245546531,0.8569062072955549,2.328496606919203,0.969835757851472
1.278,0.6649847015992985,0.5513676078422429,0.0,0.9169604688186197,0.5233836422788739,0.4368155808147453,1.0226235822985188,1.9430844490618095,0.08469855407240424,0.3970675080842576,0.3433137164245902,0.8854866044779769,0.87554554949006,2.348567922156636,0.9800483675784992
1.778,0.6552210358925911,0.5659966757535531,0.0,0.8944885764824807,0.5178476260888693,0.43588623870760795,1.025471638636573,1.9291633549240907,0.15434605253183648,0.3951007991815219,0.34131580846833875,0.8786764209998283,0.8469462921315896,2.1236446179909345,0.958949328262515
2.277,0.6661579881317317,0.5745436803012971,0.0,0.9179238617130628,0.48005254112255263,0.4033568285642377,1.0949296597852984,1.923193931982173,0.11298184440279875,0.4072484627719356,0.3749316209156873,0.8815784461056609,0.867315490455159,2.2379240094736192,0.9643411182991488
2.777,0.6642689616943989,0.544755114254569,0.0,0.9052352167450259,0.4676580891367451,0.4139122386925934,1.0662197316156656,1.913894124721162,0.0634603303624274,0.38810453908237497,0.35537397958450534,0.8653541733948997,0.8573848694685522,2.1762235006118518,0.9583960371004144
3.277,0.6455400051372627,0.5578695915993178,0.0,0.9109654175732532,0.5059251416346255,0.3869250564424458,1.0497480199776226,1.9073914656399287,0.10290544814134367,0.3997928936778605,0.3788794575048072,0.8703751716957129,0.8510251738405143,2.08397897173941,0.9412978940114565
3.777,0.6275197432468852,0.5478324345631796,0.0,0.8871186315188817,0.4242152282353233,0.35321127380876516,1.0404154714939498,1.8879465409093326,0.07883834670982112,0.36242075883546826,0.37371596269315666,0.8714808387788354,0.8624330931271604,2.152016212229859,0.9547855931246417
4.293,0.5992444106215976,0.5299916423964768,0.0,0.9211719890241346,0.4896354458251556,0.36732309212256986,0.9560243703712593,1.9239809724220207,0.060117237369965645,0.3762389306469786,0.3564278318255901,0.8690227939107281,0.8668444538806646,2.1494019167137584,0.9387898300654351
4.781,0.6875115489707133,0.5320469428993474,0.0,0.9210596427215892,0.47417131043191435,0.38684076352182356,1.0424598643900267,2.0402159287685007,-0.014761438307310465,0.38980992687782606,0.377726643131016,0.8756231146558183,0.8647098802728106,2.1860418403002106,0.9693182682684649
5.283,0.6216975411751651,0.5550581115203086,0.0,0.8903096878929225,0.4339360054971404,0.3546029296787766,0.972194114593198,1.9710265568383083,0.08359702460929821,0.39024845234037114,0.37583049327987506,0.8640081150105005,0.8487382450547827,2.1622633102480506,0.9328292118678606
5.777,0.6355358148848654,0.5317635898712505,0.0,0.9214317459551528,0.534475847711469,0.4080745425960202,0.9526193357127363,2.0022199742272173,0.0451869128590848,0.3958271129435637,0.3576814322673992,0.8756978399390193,0.8665697773890056,2.338397985567096,0.9512282934003004
6.277,0.5861411771424754,0.5491266123081289,0.0,0.9283935278307494,0.460854575841857,0.38563955776053693,0.9057391911822315,1.952273256797604,0.09055217514095615,0.3942456487268127,0.3681040528846108,0.8714962007856435,0.851278148550396,2.2067342146147224,0.9492080813706069
6.777,0.5945633057844378,0.542091101252935,0.0,0.9194684079777132,0.49162395616841165,0.37552617920209175,0.9083833034194088,1.9359503880133833,0.06255755260901802,0.39775105301275543,0.3671731142118505,0.8687226875312977,0.8584119530990983,2.17866071667701,0.945778549454921
