ROI,Spike_Count,Mean_Latency_s,Median_Latency_s,Std_Latency_s,SEM_Latency_s
ROI.01 [],16,22.091375,16.026000000000007,22.29545698978456,5.57386424744614
ROI.02 [],7,30.849857142857154,26.77800000000001,16.586831869775203,6.269233166552239
ROI.03 [],10,26.829700000000003,20.525500000000008,19.803407518516718,6.2623873191015935
ROI.04 [],10,29.629,23.7855,10.707433087969001,3.3859876451832096
ROI.05 [],6,17.693333333333335,13.526,17.121839885557467,6.989961862874821
ROI.06 [],7,21.49285714285714,20.77500000000001,18.315084706588824,6.922451339245201
ROI.07 [],6,34.86016666666668,29.527500000000003,14.02622902161043,5.72618401972708
ROI.08 [],10,28.0785,26.2765,13.688057538112071,4.328543856387118
ROI.09 [],11,29.146,25.277,14.596975316825057,4.40115365454435
ROI.10 [],12,26.115999999999996,26.028000000000006,14.044907728102348,4.0544156287816735
ROI.11 [],6,27.77783333333333,25.776500000000002,18.65936239442995,7.617652798671722
ROI.12 [],6,31.778833333333324,26.777499999999993,13.037500549057196,5.322537311074276
ROI.13 [],9,22.00111111111111,20.276000000000003,13.375351326642267,4.458450442214089
ROI.14 [],8,17.902875,15.526499999999995,15.057534093673599,5.3236422327921185
