ROI,Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
ROI.01 [],blue,red,1,3,3.0,4.333333333333333,1.0,ns
ROI.02 [],blue,red,3,3,1.0,1.3333333333333333,0.5049850750938458,ns
ROI.03 [],Ctrl,blue,1,3,1.0,1.0,1.0,ns
ROI.03 [],Ctrl,red,1,4,1.0,1.5,1.0,ns
ROI.03 [],blue,red,3,4,1.0,1.5,0.5637028616507731,ns
ROI.04 [],blue,red,1,4,2.0,2.0,1.0,ns
ROI.05 [],blue,red,2,4,1.0,1.0,1.0,ns
ROI.06 [],blue,red,1,3,2.0,1.6666666666666667,1.0,ns
ROI.07 [],blue,red,2,2,1.0,2.0,0.6170750774519738,ns
ROI.08 [],blue,red,2,3,1.0,2.6666666666666665,0.3329216080655659,ns
ROI.09 [],blue,red,1,4,1.0,2.5,1.0,ns
ROI.10 [],Ctrl,blue,1,2,1.0,1.0,1.0,ns
ROI.10 [],Ctrl,red,1,3,1.0,3.0,1.0,ns
ROI.10 [],blue,red,2,3,1.0,3.0,0.1386406338132186,ns
ROI.11 [],blue,red,1,2,1.0,2.5,1.0,ns
ROI.12 [],blue,red,1,2,2.0,2.0,1.0,ns
ROI.13 [],Ctrl,blue,1,2,1.0,1.0,1.0,ns
ROI.13 [],Ctrl,red,1,4,1.0,1.5,1.0,ns
ROI.13 [],blue,red,2,4,1.0,1.5,0.7236736098317631,ns
ROI.14 [],blue,red,2,4,1.0,1.5,0.7236736098317631,ns
