ROI,Total_Spikes,Mean_per_replicate,SEM,n_replicates
ROI.01 [],16,4.0,0.5773502691896257,4
ROI.02 [],7,1.1666666666666667,0.16666666666666669,6
ROI.03 [],10,1.25,0.25,8
ROI.04 [],10,2.0,0.5477225575051661,5
ROI.05 [],6,1.0,0.0,6
ROI.06 [],7,1.75,0.47871355387816905,4
ROI.07 [],6,1.5,0.5,4
ROI.08 [],10,2.0,0.7745966692414833,5
ROI.09 [],11,2.2,0.7999999999999999,5
ROI.10 [],12,2.0,0.5163977794943223,6
ROI.11 [],6,2.0,0.5773502691896258,3
ROI.12 [],6,2.0,0.5773502691896258,3
ROI.13 [],9,1.2857142857142858,0.2857142857142857,7
ROI.14 [],8,1.3333333333333333,0.33333333333333337,6
