ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.02 [],57.776,27.776000000000003,30,50
ROI.02 [],106.278,26.278000000000006,80,100
ROI.04 [],59.778,29.778,30,50
ROI.04 [],75.277,45.277,30,50
ROI.04 [],104.286,24.286,80,100
ROI.04 [],122.778,42.778000000000006,80,100
ROI.04 [],152.786,22.786,130,150
ROI.05 [],101.778,21.778000000000006,80,100
ROI.05 [],128.278,48.27799999999999,80,100
ROI.05 [],156.286,26.286,130,150
ROI.05 [],179.278,49.27799999999999,130,150
ROI.03 [],57.776,27.776000000000003,30,50
ROI.03 [],109.285,29.284999999999997,80,100
ROI.03 [],128.778,48.77799999999999,80,100
ROI.03 [],158.277,28.276999999999987,130,150
ROI.07 [],62.277,32.277,30,50
ROI.07 [],75.277,45.277,30,50
ROI.07 [],106.777,26.777,80,100
ROI.07 [],121.784,41.784000000000006,80,100
ROI.08 [],53.277,23.277,30,50
ROI.08 [],108.294,28.293999999999997,80,100
ROI.08 [],125.778,45.778000000000006,80,100
ROI.08 [],158.277,28.276999999999987,130,150
ROI.09 [],51.788,21.787999999999997,30,50
ROI.09 [],105.277,25.277,80,100
ROI.09 [],122.285,42.285,80,100
ROI.10 [],106.278,26.278000000000006,80,100
ROI.10 [],125.778,45.778000000000006,80,100
ROI.10 [],153.278,23.27799999999999,130,150
ROI.12 [],59.778,29.778,30,50
ROI.12 [],78.288,48.288,30,50
ROI.12 [],127.777,47.777,80,100
ROI.13 [],57.776,27.776000000000003,30,50
ROI.13 [],109.285,29.284999999999997,80,100
ROI.13 [],128.778,48.77799999999999,80,100
ROI.13 [],158.277,28.276999999999987,130,150
ROI.14 [],54.782,24.781999999999996,30,50
ROI.14 [],101.778,21.778000000000006,80,100
ROI.14 [],129.778,49.77799999999999,80,100
ROI.14 [],156.286,26.286,130,150
ROI.14 [],179.278,49.27799999999999,130,150
