ROI,n_spikes,spike_times_s
ROI.04 [],6,20.277;59.778;75.277;104.286;122.778;152.786
ROI.14 [],6,24.787;54.782;101.778;129.778;156.286;179.278
ROI.08 [],6,22.777;29.285;53.277;108.294;125.778;158.277
ROI.13 [],5,24.787;57.776;109.285;128.778;158.277
ROI.05 [],5,24.787;101.778;128.278;156.286;179.278
ROI.07 [],5,28.777;62.277;75.277;106.777;121.784
ROI.03 [],5,24.787;57.776;109.285;128.778;158.277
ROI.12 [],5,20.277;29.776;59.778;78.288;127.777
ROI.10 [],4,24.787;106.278;125.778;153.278
ROI.02 [],3,24.787;57.776;106.278
ROI.09 [],3,51.788;105.277;122.285
