ROI,mean0,sd0,thr
ROI.01 [],0.04046237457996246,0.01147995122699855,0.07490222826095812
ROI.02 [],0.015710417299111427,0.008363687195178405,0.04080147888464664
ROI.04 [],0.041926209945233724,0.025902734321418586,0.11963441290948948
ROI.05 [],0.017098445643663418,0.011003115447887681,0.05010779198732646
ROI.03 [],0.020488845411300697,0.012312552249395177,0.057426502159486234
ROI.06 [],0.03824584063047529,0.013024777845144116,0.07732017416590764
ROI.07 [],0.016005741752731725,0.00986319675170624,0.045595332007850445
ROI.08 [],0.024993655256078922,0.01779301107797084,0.07837268848999145
ROI.09 [],0.014053104281039019,0.008493171081433588,0.03953261752533978
ROI.10 [],0.017361641732613897,0.009501571032878785,0.045866354831250254
ROI.11 [],0.05902821800237641,0.022132189044254378,0.12542478513513955
ROI.12 [],0.04385283118681198,0.029068705636591953,0.13105894809658786
ROI.13 [],0.020488845411300697,0.012312552249395177,0.057426502159486234
ROI.14 [],0.014496553099735505,0.00956040181989941,0.04317775855943374
