ROI_A,ROI_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
ROI.01 [],ROI.02 [],3,1,0.48861951483536786,0.0552699194917042,1.0,ns
ROI.01 [],ROI.03 [],3,2,0.48861951483536786,0.19983692442710954,0.8,ns
ROI.01 [],ROI.06 [],3,2,0.48861951483536786,0.8024386406366683,0.8,ns
ROI.01 [],ROI.07 [],3,2,0.48861951483536786,0.15387180640087875,0.8,ns
ROI.01 [],ROI.08 [],3,2,0.48861951483536786,0.08364490976109334,0.4,ns
ROI.01 [],ROI.09 [],3,2,0.48861951483536786,0.1009792954193452,0.8,ns
ROI.01 [],ROI.11 [],3,3,0.48861951483536786,0.6922215778549669,0.7,ns
ROI.01 [],ROI.13 [],3,2,0.48861951483536786,0.19983692442710954,0.8,ns
ROI.02 [],ROI.03 [],1,2,0.0552699194917042,0.19983692442710954,1.0,ns
ROI.02 [],ROI.06 [],1,2,0.0552699194917042,0.8024386406366683,1.0,ns
ROI.02 [],ROI.07 [],1,2,0.0552699194917042,0.15387180640087875,1.0,ns
ROI.02 [],ROI.08 [],1,2,0.0552699194917042,0.08364490976109334,1.0,ns
ROI.02 [],ROI.09 [],1,2,0.0552699194917042,0.1009792954193452,1.0,ns
ROI.02 [],ROI.11 [],1,3,0.0552699194917042,0.6922215778549669,1.0,ns
ROI.02 [],ROI.13 [],1,2,0.0552699194917042,0.19983692442710954,1.0,ns
ROI.03 [],ROI.06 [],2,2,0.19983692442710954,0.8024386406366683,0.3333333333333333,ns
ROI.03 [],ROI.07 [],2,2,0.19983692442710954,0.15387180640087875,0.6666666666666666,ns
ROI.03 [],ROI.08 [],2,2,0.19983692442710954,0.08364490976109334,0.3333333333333333,ns
ROI.03 [],ROI.09 [],2,2,0.19983692442710954,0.1009792954193452,0.3333333333333333,ns
ROI.03 [],ROI.11 [],2,3,0.19983692442710954,0.6922215778549669,0.8,ns
ROI.03 [],ROI.13 [],2,2,0.19983692442710954,0.19983692442710954,1.0,ns
ROI.06 [],ROI.07 [],2,2,0.8024386406366683,0.15387180640087875,0.3333333333333333,ns
ROI.06 [],ROI.08 [],2,2,0.8024386406366683,0.08364490976109334,0.3333333333333333,ns
ROI.06 [],ROI.09 [],2,2,0.8024386406366683,0.1009792954193452,0.3333333333333333,ns
ROI.06 [],ROI.11 [],2,3,0.8024386406366683,0.6922215778549669,1.0,ns
ROI.06 [],ROI.13 [],2,2,0.8024386406366683,0.19983692442710954,0.3333333333333333,ns
ROI.07 [],ROI.08 [],2,2,0.15387180640087875,0.08364490976109334,0.6666666666666666,ns
ROI.07 [],ROI.09 [],2,2,0.15387180640087875,0.1009792954193452,1.0,ns
ROI.07 [],ROI.11 [],2,3,0.15387180640087875,0.6922215778549669,0.4,ns
ROI.07 [],ROI.13 [],2,2,0.15387180640087875,0.19983692442710954,0.6666666666666666,ns
ROI.08 [],ROI.09 [],2,2,0.08364490976109334,0.1009792954193452,0.6666666666666666,ns
ROI.08 [],ROI.11 [],2,3,0.08364490976109334,0.6922215778549669,0.2,ns
ROI.08 [],ROI.13 [],2,2,0.08364490976109334,0.19983692442710954,0.3333333333333333,ns
ROI.09 [],ROI.11 [],2,3,0.1009792954193452,0.6922215778549669,0.4,ns
ROI.09 [],ROI.13 [],2,2,0.1009792954193452,0.19983692442710954,0.3333333333333333,ns
ROI.11 [],ROI.13 [],3,2,0.6922215778549669,0.19983692442710954,0.8,ns
