ROI,mean0,sd0,thr
ROI.01 [],0.03190175049422943,0.01393217476779352,0.0876304495654035
ROI.02 [],0.010925445473049068,0.006792673025385467,0.03809613757459093
ROI.04 [],0.017582988405776837,0.013728611646115736,0.07249743499023978
ROI.05 [],0.009624037658378125,0.01051116482770545,0.05166869696919992
ROI.03 [],0.025792875746644645,0.009995114247995375,0.06577333273862615
ROI.06 [],0.05182199281067201,0.019420320714368042,0.12950327566814418
ROI.07 [],0.009446419271351812,0.004543908372028641,0.027622052759466373
ROI.08 [],0.011967209985250598,0.007881851626099171,0.04349461648964728
ROI.09 [],0.01568826521637119,0.008602713504381484,0.05009911923389713
ROI.10 [],0.006888302583718192,0.003270640102327089,0.01997086299302655
ROI.11 [],0.03937421316059934,0.02165024390250274,0.12597518877061029
ROI.12 [],0.014310587356806273,0.014233118709598615,0.07124306219520074
ROI.13 [],0.025792875746644645,0.009995114247995375,0.06577333273862615
ROI.14 [],0.008615545167888504,0.009052475550763455,0.04482544737094232
