ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s,condition
ROI.06 [],57.784,27.784,30,50,blue2
ROI.06 [],105.287,25.28700000000001,80,100,blue2
ROI.01 [],58.276,28.276000000000003,30,50,blue3
ROI.06 [],58.276,28.276000000000003,30,50,blue3
ROI.11 [],57.779,27.779000000000003,30,50,blue3
ROI.01 [],52.788,22.788,30,50,blue4
ROI.01 [],102.277,22.277,80,100,blue4
ROI.01 [],110.785,30.785,80,100,blue4
ROI.01 [],184.277,54.27699999999999,130,150,blue4
ROI.06 [],52.788,22.788,30,50,blue4
ROI.06 [],101.778,21.77800000000001,80,100,blue4
ROI.06 [],110.785,30.785,80,100,blue4
ROI.06 [],184.277,54.27699999999999,130,150,blue4
ROI.07 [],187.776,57.77600000000001,130,150,blue4
ROI.11 [],51.778,21.778,30,50,blue4
ROI.11 [],183.778,53.77799999999999,130,150,blue4
ROI.02 [],186.276,56.27600000000001,130,150,red6
ROI.11 [],122.276,42.276,80,100,red6
ROI.01 [],61.788,31.788,30,50,red7
ROI.06 [],61.788,31.788,30,50,red7
ROI.07 [],106.778,26.77800000000001,80,100,red7
ROI.11 [],61.276,31.276000000000003,30,50,red7
ROI.03 [],58.777,28.777,30,50,red8
ROI.13 [],58.777,28.777,30,50,red8
