ROI,n_spikes,Mean_Amplitude,SEM
ROI.01 [],5,0.4748327966449598,0.17706334825221443
ROI.02 [],2,0.04227248751521156,0.012997431976492642
ROI.03 [],2,0.20595795810751205,0.07766007973660133
ROI.06 [],4,0.5849656731633781,0.22665392556903788
ROI.07 [],2,0.14827269040289737,0.08046564216458021
ROI.08 [],2,0.08364490976109334,0.02391653615047575
ROI.09 [],2,0.1009792954193452,0.010510826810542002
ROI.10 [],2,0.038144034234184165,0.005468192459505968
ROI.11 [],5,0.5445877434165656,0.21836959048048935
ROI.13 [],2,0.20595795810751205,0.07766007973660133
