Repeat,VAR2,Point,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,-150.20000E-003,21.00000E-009,15.91700E-003
1,1,2,-120.46000E-003,26.00000E-009,33.74200E-003
1,1,3,19.46000E-003,32.00000E-009,51.36700E-003
1,1,4,273.54000E-003,38.00000E-009,69.03100E-003
1,1,5,645.26000E-003,44.00000E-009,87.92500E-003
1,1,6,1.11926E+000,50.00000E-009,105.54100E-003
1,1,7,1.70215E+000,58.00000E-009,123.19300E-003
1,1,8,2.38644E+000,91.00000E-009,140.81400E-003
1,1,9,3.10978E+000,206.00000E-009,158.47100E-003
1,1,10,3.72815E+000,466.00000E-009,176.12300E-003
1,1,11,4.12070E+000,759.00000E-009,193.74100E-003
1,1,12,4.33122E+000,969.00000E-009,211.39600E-003
1,1,13,4.45587E+000,1.11200E-006,229.05100E-003
1,1,14,4.54724E+000,1.22700E-006,246.70800E-003
1,1,15,4.62592E+000,1.33600E-006,264.32600E-003
1,1,16,4.69615E+000,1.43800E-006,281.98500E-003
1,1,17,4.76621E+000,1.54400E-006,299.62000E-003
1,1,18,4.82784E+000,1.64600E-006,317.22800E-003
1,1,19,4.89033E+000,1.75100E-006,334.87600E-003
1,1,20,4.94473E+000,1.85200E-006,352.51800E-003
1,1,21,5.00043E+000,1.95600E-006,370.18600E-003
1,1,22,5.05149E+000,2.05400E-006,387.83900E-003
1,1,23,5.10293E+000,2.15700E-006,405.46800E-003
1,1,24,5.15237E+000,2.26200E-006,423.12400E-003
1,1,25,5.19670E+000,2.35900E-006,440.74200E-003
1,1,26,5.24319E+000,2.46200E-006,458.39200E-003
1,1,27,5.28740E+000,2.56500E-006,476.05000E-003
1,1,28,5.32758E+000,2.66100E-006,493.70500E-003
1,1,29,5.37038E+000,2.76700E-006,511.32400E-003
1,1,30,5.41002E+000,2.86900E-006,528.97500E-003
1,1,31,5.44993E+000,2.96500E-006,560.30200E-003
1,1,32,5.48822E+000,3.06800E-006,577.92900E-003
1,1,33,5.52592E+000,3.17100E-006,595.54100E-003
1,1,34,5.56045E+000,3.26800E-006,613.20900E-003
1,1,35,5.59543E+000,3.36700E-006,630.84900E-003
1,1,36,5.63039E+000,3.47000E-006,648.51600E-003
1,1,37,5.66431E+000,3.56900E-006,666.14700E-003
1,1,38,5.69734E+000,3.66900E-006,683.79300E-003
1,1,39,5.73116E+000,3.77200E-006,701.44500E-003
1,1,40,5.76283E+000,3.87600E-006,719.06300E-003
1,1,41,5.79352E+000,3.97600E-006,736.71200E-003
1,1,42,5.82315E+000,4.07200E-006,754.36400E-003
1,1,43,5.85399E+000,4.17400E-006,772.83100E-003
1,1,44,5.88381E+000,4.27600E-006,790.46300E-003
1,1,45,5.91197E+000,4.37900E-006,808.10400E-003
1,1,46,5.93911E+000,4.47500E-006,826.11900E-003
1,1,47,5.96553E+000,4.57500E-006,843.82600E-003
1,1,48,5.99358E+000,4.67700E-006,861.47200E-003
1,1,49,6.02236E+000,4.77900E-006,880.10600E-003
1,1,50,6.04883E+000,4.87900E-006,897.73700E-003
1,1,51,6.07556E+000,4.97500E-006,915.37900E-003
1,1,52,6.10172E+000,5.07800E-006,933.43300E-003
1,1,53,6.12687E+000,5.17900E-006,951.08500E-003
1,1,54,6.15139E+000,5.28100E-006,968.69900E-003
1,1,55,6.17726E+000,5.37900E-006,986.36100E-003
1,1,56,6.20116E+000,5.47900E-006,1.00397E+000
1,1,57,6.22546E+000,5.57700E-006,1.02162E+000
1,1,58,6.25055E+000,5.68000E-006,1.03960E+000
1,1,59,6.27505E+000,5.78300E-006,1.05814E+000
1,1,60,6.29820E+000,5.88300E-006,1.08170E+000
1,1,61,6.32029E+000,5.98000E-006,1.09935E+000
1,1,62,6.34364E+000,6.07900E-006,1.11700E+000
1,1,63,6.36760E+000,6.17900E-006,1.13479E+000
1,1,64,6.39094E+000,6.28200E-006,1.15241E+000
1,1,65,6.41319E+000,6.38300E-006,1.17005E+000
1,1,66,6.43524E+000,6.48300E-006,1.18769E+000
1,1,67,6.45653E+000,6.58100E-006,1.20531E+000
1,1,68,6.47725E+000,6.68100E-006,1.22328E+000
1,1,69,6.49841E+000,6.78100E-006,1.24106E+000
1,1,70,6.51941E+000,6.88500E-006,1.25955E+000
1,1,71,6.54046E+000,6.98400E-006,1.27716E+000
1,1,72,6.56050E+000,7.08400E-006,1.29480E+000
1,1,73,6.58157E+000,7.18200E-006,1.31246E+000
1,1,74,6.60214E+000,7.28100E-006,1.33007E+000
1,1,75,6.62254E+000,7.38200E-006,1.34777E+000
1,1,76,6.64262E+000,7.48500E-006,1.36544E+000
1,1,77,6.66206E+000,7.58500E-006,1.38308E+000
1,1,78,6.68262E+000,7.68600E-006,1.40070E+000
1,1,79,6.70150E+000,7.78600E-006,1.41834E+000
1,1,80,6.71972E+000,7.88400E-006,1.43607E+000
1,1,81,6.73857E+000,7.98200E-006,1.45369E+000
1,1,82,6.75746E+000,8.08300E-006,1.47134E+000
1,1,83,6.77667E+000,8.18500E-006,1.48898E+000
1,1,84,6.79448E+000,8.28700E-006,1.50674E+000
1,1,85,6.81190E+000,8.38600E-006,1.52435E+000
1,1,86,6.82979E+000,8.48600E-006,1.54200E+000
1,1,87,6.84789E+000,8.58600E-006,1.56044E+000
1,1,88,6.86429E+000,8.68500E-006,1.57806E+000
1,1,89,6.88215E+000,8.78400E-006,1.60357E+000
1,1,90,6.89884E+000,8.88600E-006,1.62122E+000
1,1,91,6.91666E+000,8.98600E-006,1.63887E+000
1,1,92,6.93458E+000,9.08700E-006,1.65653E+000
1,1,93,6.95140E+000,9.18800E-006,1.67487E+000
1,1,94,6.96694E+000,9.28800E-006,1.69254E+000
1,1,95,6.98313E+000,9.38400E-006,1.71019E+000
1,1,96,7.00031E+000,9.48500E-006,1.72784E+000
1,1,97,7.01669E+000,9.58600E-006,1.74549E+000
1,1,98,7.03265E+000,9.68600E-006,1.76310E+000
1,1,99,7.04880E+000,9.78800E-006,1.78076E+000
1,1,100,7.06404E+000,9.88800E-006,1.79839E+000
1,1,101,7.07962E+000,9.98900E-006,1.81601E+000
1,1,102,7.09511E+000,10.08700E-006,1.83368E+000
1,1,103,7.11051E+000,10.18800E-006,1.85132E+000
1,1,104,7.12605E+000,10.28600E-006,1.86984E+000
1,1,105,7.14060E+000,10.38800E-006,1.88745E+000
1,1,106,7.15525E+000,10.48800E-006,1.90506E+000
