Frame,Mean
0,26.0906
1,25.1680
2,24.2690
3,23.8491
4,23.3703
5,22.9340
6,22.2495
7,21.6529
8,21.6519
9,21.1337
10,20.5163
11,20.1410
12,19.7802
13,19.2182
14,19.1161
15,18.4304
16,17.9712
17,18.1918
18,17.3785
19,17.2421
20,16.5190
21,16.4402
22,16.8496
23,16.4237
24,16.8942
25,15.9245
26,15.4354
27,15.5939
28,14.8815
29,14.6204
30,14.7787
31,14.6924
32,14.7203
33,14.3050
34,14.0624
35,13.6005
36,13.3524
37,13.0010
38,13.0073
39,12.6910
40,12.4206
41,12.4682
42,12.3732
43,12.1075
44,11.9180
45,11.6879
46,11.4775
47,11.4360
48,11.1707
49,11.0979
50,10.9128
51,10.7580
52,10.1032
53,9.5744
54,9.9001
55,9.3013
56,9.3011
57,9.3543
58,9.0968
59,8.8388
60,8.8162
61,8.8037
62,8.4945
63,8.4913
64,8.3643
65,8.3334
66,8.1289
67,8.0882
68,7.8131
69,7.7219
70,7.8226
71,7.6636
72,7.5242
73,7.6158
74,7.5886
75,7.2265
76,7.3184
77,7.3215
78,7.2647
79,7.1337
80,6.8752
81,6.7844
82,6.8744
83,6.8169
84,6.7300
85,6.8218
86,6.5313
87,6.6646
88,6.3527
89,6.4588
90,6.2748
91,6.2909
92,6.4215
93,6.2804
94,6.2110
95,6.1175
96,6.1141
97,6.1265
98,5.8955
99,5.8820
100,5.9686
101,5.8454
102,5.9159
103,6.0331
104,5.6451
105,5.5760
106,5.7056
107,5.6054
108,5.5559
109,5.5098
110,5.4534
111,5.3870
112,5.4533
113,5.4331
114,5.4659
115,5.1507
116,5.2503
117,5.2524
118,5.3301
119,5.1830
120,9.5488
121,9.2306
122,8.3697
123,8.2460
124,8.1371
125,7.8312
126,7.7834
127,7.3881
128,7.3419
129,7.3838
130,7.3829
131,7.4009
132,7.0748
133,6.8464
134,6.9766
135,6.8328
136,6.6674
137,6.5339
138,6.5428
139,6.5389
140,6.5195
141,6.4873
142,6.2437
143,5.9599
144,6.2014
145,6.3044
146,6.0617
147,6.0025
148,5.6371
149,5.7857
150,5.5778
151,5.6947
152,5.5863
153,5.6722
154,5.5511
155,5.4134
156,5.4227
157,5.3851
158,5.5423
159,5.2074
160,5.4646
161,5.2553
162,5.1227
163,5.1184
164,5.1797
165,4.9714
166,5.0032
167,4.9860
168,4.5696
169,4.8632
170,4.7757
171,4.7782
172,4.7053
173,4.5664
174,4.5632
175,4.6112
176,4.4589
177,4.5000
178,4.6038
179,4.4047
180,4.5248
181,4.1203
182,4.2788
183,4.2734
184,4.2882
185,4.0998
186,4.1727
187,4.3131
188,4.3319
189,4.2165
190,4.0897
191,4.3339
192,3.9991
193,4.2640
194,4.2912
195,4.2725
196,3.9589
197,4.1161
198,3.9732
199,3.9449
200,3.8263
201,3.9265
202,3.8287
203,3.8578
204,4.2170
205,3.9636
206,3.9170
207,3.9481
208,4.0585
209,3.6645
210,3.6630
211,3.7118
212,3.6633
213,3.6531
214,3.8188
215,3.8003
216,3.6289
217,3.6613
218,3.6677
219,3.8502
220,3.9625
221,3.8138
222,3.7744
223,3.7979
224,3.6416
225,3.7834
226,3.6196
227,3.7364
228,3.5939
229,3.6958
230,3.4949
231,3.7387
232,3.6439
233,3.6766
234,3.6149
235,3.7215
236,3.5843
237,3.4147
238,3.7149
239,3.4290
240,7.6367
241,7.1289
242,6.7352
243,6.4846
244,6.6607
245,6.4806
246,6.3121
247,6.0326
248,6.2231
249,5.9378
250,5.8173
251,5.7306
252,5.5620
253,5.6990
254,5.3877
255,5.4991
256,5.3664
257,5.2193
258,5.2059
259,5.3969
260,5.1114
261,5.1219
262,5.1081
263,4.9907
264,5.0374
265,4.9801
266,4.8187
267,5.0335
268,4.7598
269,4.7088
270,4.6816
271,4.6246
272,4.7704
273,4.6545
274,4.3611
275,4.3429
276,4.5338
277,4.3113
278,4.1743
279,4.4205
280,4.1753
281,4.2655
282,3.9508
283,3.9824
284,3.8638
285,3.8826
286,3.8832
287,3.8187
288,3.8608
289,3.7951
290,3.7517
291,3.9472
292,3.7688
293,3.6437
294,3.7800
295,3.7986
296,3.5767
297,3.6535
298,3.6048
299,3.6346
300,3.7095
301,3.4544
302,3.6409
303,3.6213
304,3.6177
305,3.7917
306,3.4580
307,3.2901
308,4.0217
309,3.4699
310,3.2998
311,3.2823
312,3.2916
313,3.5338
314,3.2728
315,3.4320
316,3.1105
317,3.2384
318,3.3022
319,3.2204
320,3.1618
321,3.0599
322,3.1445
323,3.3413
324,3.0260
325,2.8968
326,2.8252
327,3.2563
328,2.9578
329,2.8961
330,3.0863
331,3.0884
332,2.9563
333,3.0436
334,2.9244
335,2.8303
336,2.9801
337,3.1448
338,3.0247
339,3.0246
340,3.1220
341,2.9904
342,3.2441
343,3.0749
344,2.9957
345,2.9963
346,3.0169
347,3.2542
348,2.8345
349,2.9921
350,2.9420
351,3.0564
352,2.9633
353,2.9714
354,2.8080
355,2.7341
356,2.9339
357,2.8849
358,2.8841
359,2.9521
