Time (s),ROI.04 []
0.257,-0.08318477460188362
0.778,-0.19237815026164848
1.277,-0.1704729910674083
1.775,-0.14519835669272413
2.287,-0.11875785421927718
2.779,-0.11775431382859586
3.277,-0.24808278895478703
3.777,-0.19137432313687633
4.286,-0.1519846951045619
4.777,-0.13767241396933105
5.278,-0.0907984558911702
5.785,-0.14421681474374062
6.288,-0.13049738341164754
6.777,-0.00659373679367979
7.278,-0.1161417392602376
7.784,-0.09044177702907925
8.284,-0.039794493546213804
8.776,-0.13389653545130636
9.292,-0.11468240288675877
9.776,-0.06392097186124894
10.285,-0.07792630820079537
10.776,-0.16653067737774868
11.277,-0.10955321718412865
11.777,0.0013003250002445298
12.277,-0.08726073555322257
12.787,-0.04197262067778319
13.278,-0.08214576142566421
13.776,-0.10194645332315995
14.276,-0.1098492348219708
14.787,-0.07678161172644347
15.278,-0.13253275753354002
15.776,0.04647644448125736
16.286,-0.05939341147022997
16.776,-0.01505590185652832
17.286,-0.13922663238830021
17.777,-0.0801564519983757
18.279,-0.08890722334921608
18.777,0.035128226002579234
19.276,-0.03459438809612638
19.776,-0.14097716876010769
20.278,-0.08180460969713872
20.783,-0.03239694529339436
21.283,-0.05135730699964815
21.785,-0.1514085320433557
22.278,-0.17857155482105305
22.777,-0.0293727979193668
23.278,-0.12036074387789301
23.776,-0.11753412999336325
24.287,-0.06611705138714116
24.776,-0.039439774058304684
25.287,-0.04790848264233869
25.777,-0.15564276590325726
26.286,-0.10359938268249899
26.778,-0.14747628824050704
27.277,-0.12639551041063005
27.777,-0.028573032003196153
28.285,-0.15249818543391883
28.777,-0.045421055228939876
29.277,-0.09123497744106143
29.777,-0.05386049048752853
30.287,-0.1071854273226828
30.778,-0.0678775255255516
31.276,-0.05292656899198278
31.778,-0.15380664788531678
32.278,-0.16024673342553172
32.785,-0.13080792937299582
33.277,-0.09328779414949813
33.785,-0.03515378283875093
34.284,-0.0474611522306412
34.784,-0.054150525424467445
35.275,-0.033580928324999475
35.795,-0.059819457473763785
36.276,-0.07885777972115605
36.776,-0.023771329948828687
37.286,-0.08724868567183793
37.778,-0.0880721143582504
38.277,-0.04569307714334
38.777,-0.1126538481045842
39.276,-0.024454404017679027
39.785,-0.0934718892950092
40.277,-0.07246288211793146
40.776,-0.02401261372946637
41.276,-0.04630312088935458
41.777,-0.03649024657063626
42.277,0.0023549873658141565
42.778,-0.15138525492932645
43.277,-0.100820466569908
43.777,-0.1191267464907637
44.277,-0.07221427819974108
44.777,-0.070038103763238
45.283,-0.01575019716326336
45.778,-0.06774340687931643
46.275,-0.09683443147052269
46.785,-0.1769921124754243
47.285,-0.15794156963900072
47.784,-0.005672911436608943
48.277,-0.01486723713343218
48.776,-0.0021869080924164738
49.277,-0.05388752837758329
49.777,-0.039991879208499254
50.286,-0.12850076227492496
50.777,-0.06924748471186368
51.277,0.0318912581275349
51.787,-0.08633890058782315
52.277,0.026328434781887487
52.777,-0.061801607680709504
53.278,-0.0936722929162878
53.776,-0.028738117647894777
54.286,-0.01408893330297402
54.777,3.4169487966182744e-05
55.287,-0.05087802674020818
55.776,-0.09718460444469917
56.277,-0.09192176221232809
56.786,-0.11921799472766471
57.277,-0.18684149966689972
57.776,-0.020835483273596647
58.276,-0.03658794347898128
58.786,-0.11271966640492188
59.277,-0.01666556574601644
59.792,-0.05615703891125306
60.283,-0.10098711254789929
60.786,-0.13290227898705448
61.276,-0.09065672266720239
61.777,-0.14526751538358768
62.277,-0.09883590702924198
62.786,-0.13118214983391926
63.277,-0.11497588123054388
63.777,-0.0704243974747877
64.287,-0.033874963142395124
64.778,-2.628435968526169e-05
65.277,-0.03229920922062426
65.791,-0.043888720897370774
66.277,-0.11995247919870083
66.774,-0.07656499612248513
67.284,0.03385452310877939
67.776,-0.05829918383596444
68.285,-0.018951187709744678
68.777,0.042388571706302405
69.276,-0.09795587609180625
69.776,-0.08422418766706584
70.277,-0.06607462662842396
70.787,0.0416828193155573
71.276,-0.14392370835968277
71.777,-0.05821017704754572
72.277,-0.11329310194628653
72.776,-0.05951487228416214
73.286,0.05475009448460268
73.779,0.004369926637926578
74.282,-0.011714417833528053
74.785,-0.07099801193917507
75.278,-0.00782403079417911
75.777,-0.00036471606077254326
76.275,-0.05720124565423646
76.787,-0.026127334947942622
77.277,-0.05884311872835784
77.776,0.009829639887313692
78.286,-0.008399690540144377
78.777,-0.0622416385018073
79.276,-0.008762768777700946
79.777,-0.01532567172498687
80.276,-0.03686568464336607
80.776,-0.02305637283349578
81.287,-0.033594936041217306
81.778,-0.03046081480589607
82.277,-0.008684651203644872
82.777,-0.11889992429583006
83.276,-0.015764350193212272
83.786,-0.10970383272030552
84.277,-0.1303523842938538
84.776,-0.09016803724720358
85.276,-0.06439575124633837
85.785,-0.045226350357250235
86.276,-0.051162019542088884
86.793,-0.07190469975294464
87.28,-0.08256544948919127
87.784,-0.06380794983373947
