Time (s),ROI.04 []
0.257,-0.06989876223940725
0.777,-0.12057221870713829
1.277,-0.10413875308326195
1.777,-0.17877680915909705
2.275,-0.2642814109121361
2.785,-0.19922339020953264
3.277,-0.17889066107593665
3.788,-0.14140769494313488
4.277,-0.2317495269100222
4.786,-0.08012583538540484
5.277,-0.14723349191169116
5.779,-0.21912846189525853
6.278,-0.06629435767406397
6.784,-0.18648409918889003
7.278,-0.09856449708350672
7.777,-0.10820790342048707
8.286,-0.04344489893817021
8.784,-0.1175289458824684
9.285,-0.05898735772089168
9.777,-0.1351809405621919
10.278,-0.15021800847907132
10.778,-0.08386070182681289
11.288,-0.0513766392431942
11.778,-0.10358229071148627
12.277,-0.11848078405118087
12.778,-0.05247590091954401
13.288,-0.15415085642313583
13.776,-0.06314043821504249
14.288,-0.1491705904781441
14.777,-0.15303049959859336
15.276,-0.19370698562258348
15.777,-0.08936653255415512
16.278,-0.03885901367208394
16.777,-0.044451211559630346
17.278,-0.1337212575525524
17.778,0.031921862003420225
18.277,-0.09604781725642782
18.778,-0.1370063758532998
19.277,-0.13402894444599583
19.785,-0.11936629162236523
20.277,-0.019447324597029653
20.779,-0.14816415786517634
21.28,-0.1125411851219988
21.783,-0.19348817727808498
22.278,0.03401529691736335
22.778,-0.1748364919056584
23.276,-0.13740490117924506
23.777,-0.07692678929023486
24.277,-0.11002489535720975
24.788,-0.1467487215871653
25.278,-0.14929147123777242
25.778,-0.09820899789927731
26.277,-0.13583657482179623
26.789,-0.21458809884416263
27.278,-0.1581750736644661
27.777,0.04419432946980647
28.288,-0.12468252924417857
28.778,-0.030290738987485247
29.277,-0.10593680782680631
29.788,-0.19433288999079917
30.278,-0.0768051110175053
30.787,-0.17562174703890857
31.276,-0.07057658872329313
31.778,-0.19051160677013404
32.277,-0.14307081435702115
32.777,-0.057483737696702904
33.287,-0.16733477476111713
33.78,-0.10439469150791693
34.283,-0.16333298790965134
34.783,-0.08143073564298255
35.278,0.0038378946190592415
35.778,-0.08969667728578727
36.296,-0.04772352941322103
36.777,-0.15174163213705633
37.288,-0.15791796046516188
37.778,-0.12559446266902077
38.276,-0.09997629351474761
38.788,-0.16510100629611926
39.278,-0.17694370730715905
39.777,-0.05664568092243108
40.276,-0.14605513167735848
40.787,-0.06858154086263324
41.277,-0.27291462954715556
41.776,-0.1670090067633326
42.278,-0.11121788284105442
42.787,-0.18254082498822954
43.277,-0.1750554230279477
43.778,-0.07808056521734272
44.278,-0.009996564017688041
44.776,-0.05881532313800015
45.278,0.008754722946006552
45.777,-0.17542106601190507
46.288,0.014631450929718785
46.778,0.019088868883741013
47.281,-0.03873660639348675
47.784,-0.024549903761873656
48.288,-0.04744737239752018
48.777,-0.15420586658373717
49.277,-0.008539420759238709
49.788,-0.081908852649106
50.279,-0.1301671364893385
50.778,-0.108928590311274
51.278,-0.1416102298012113
51.787,-0.05904801108876307
52.278,-0.044499873118755924
52.788,-0.07084577010508103
53.278,-0.1322308767611239
53.777,-0.26072508206566086
54.288,-0.025505467758958386
54.779,-0.09629497317855171
55.277,-0.1852516145263571
55.777,-0.15135958876277156
56.276,-0.12576632562691706
56.787,-0.13473773549945076
57.278,-0.06916374534375587
57.787,-0.14881588246805486
58.276,-0.14751213273755126
58.777,-0.11262197311075614
59.277,-0.09310225568353499
59.785,-0.1900181152536125
60.277,-0.05212277490350395
60.779,-0.0757345466401128
61.281,-0.08230358492815855
61.784,-0.08373602027065463
62.277,-0.06577269893671554
62.777,-0.15102192298219747
63.295,-0.13131161320020338
63.778,-0.12273821149968074
64.277,-0.1309198807629071
64.787,-0.14249470450027643
65.277,-0.092071902177743
65.777,-0.13413808616942569
66.276,-0.12677552062922315
66.787,-0.023948504019118255
67.278,-0.06478220545296264
67.778,-0.031177106794298276
68.288,-0.1314067478820184
68.776,-0.02444330585984578
69.277,0.00014228434141386946
69.777,-0.14284098758919192
70.288,0.023136739907057745
70.777,-0.005165994414730643
71.288,-0.022937387752580488
71.778,0.007184033545412003
72.277,-0.015355133592562036
72.776,-0.02032295797241935
73.287,-0.1332765460138842
73.777,-0.15883534310160488
74.296,-0.044052669277023684
74.781,-0.07195233889983714
75.283,-0.03343047893400335
75.776,-0.06535019322849307
76.292,-0.1077104930746661
76.778,-0.09301527138761669
77.278,-0.15006260931273857
77.777,-0.13693001605016483
78.287,-0.05119410166868754
78.776,-0.10944664494381952
79.286,-0.10504516797737236
79.777,-0.014063401712267462
80.287,-0.15130731823992324
80.777,0.05882678125793718
81.276,0.03178850033819519
81.788,-0.11683565586386734
82.276,-0.058133977758298476
82.787,-0.07595219863716644
83.278,-0.03814304144533365
83.777,-0.03844408942751269
84.276,-0.18509102527964758
84.778,-0.12334782214675322
85.276,-0.0837270407116902
85.778,-0.057998825375210505
86.277,0.041242756737540735
86.776,-0.05247523303740489
87.287,0.013261311111853299
87.777,-0.13582326558138252
88.281,-0.03695200306424378
88.785,-0.02330984568265408
