ROI,mean0,sd0,thr
ROI.01 [],-0.012921126293543776,0.00703519573962003,0.008184460925316316
ROI.02 [],-0.06034047164044203,0.041955169312348835,0.06552503629660447
ROI.03 [],0.13172609902610366,0.08652637165649629,0.39130521399559254
ROI.04 [],-0.005187968879189118,0.00499825841189109,0.009806806356484152
ROI.05 [],0.005915267929771135,0.004051575120943341,0.018069993292601158
ROI.06 [],0.006060318223979404,0.002930281026454667,0.014851161303343404
ROI.07 [],0.00618559265463931,0.004854568303161431,0.020749297564123602
ROI.08 [],0.005814623525374698,0.003939551849623855,0.017633279074246264
ROI.10 [],0.013698585068121813,0.005271165114815525,0.029512080412568385
ROI.11 [],0.010792208621568164,0.007939062445727953,0.03460939595875202
ROI.12 [],-0.007532829636882348,0.0027072431871140706,0.0005888999244598641
ROI.13 [],0.018706893479428974,0.02093732183072929,0.08151885897161684
ROI.14 [],0.008146363875737512,0.005226123014489937,0.023824732919207323
ROI.15 [],0.012276653465925935,0.007078426702839492,0.03351193357444441
ROI.16 [],0.012032868669009437,0.006898016779408656,0.03272691900723541
ROI.17 [],0.008004234668148195,0.004902873255557083,0.022712854434819442
ROI.18 [],0.017923482989669493,0.006033719975747105,0.03602464291691081
ROI.19 [],0.00666062199402804,0.0037559673045657453,0.017928523907725275
ROI.20 [],0.006485428928956525,0.003101672565710355,0.01579044662608759
ROI.21 [],-0.0061366903135278835,0.0045241041123942356,0.007435622023654823
