ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.02 [],188.277,58.27699999999999,130,150
ROI.03 [],190.278,60.27799999999999,130,150
ROI.04 [],182.777,52.77699999999999,130,150
ROI.06 [],184.276,54.27600000000001,130,150
ROI.07 [],184.276,54.27600000000001,130,150
ROI.08 [],188.277,58.27699999999999,130,150
ROI.09 [],187.776,57.77600000000001,130,150
ROI.10 [],184.276,54.27600000000001,130,150
ROI.11 [],184.276,54.27600000000001,130,150
ROI.12 [],189.278,59.27799999999999,130,150
ROI.13 [],184.276,54.27600000000001,130,150
ROI.14 [],184.276,54.27600000000001,130,150
ROI.15 [],189.777,59.77699999999999,130,150
ROI.16 [],189.777,59.77699999999999,130,150
