ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.02 [],191.276,61.27600000000001,130,150
ROI.03 [],187.276,57.27600000000001,130,150
ROI.04 [],188.778,58.77799999999999,130,150
ROI.06 [],189.777,59.77699999999999,130,150
ROI.07 [],191.276,61.27600000000001,130,150
ROI.08 [],189.277,59.27699999999999,130,150
ROI.10 [],189.277,59.27699999999999,130,150
ROI.11 [],190.778,60.77799999999999,130,150
ROI.12 [],189.277,59.27699999999999,130,150
ROI.13 [],189.277,59.27699999999999,130,150
ROI.14 [],189.277,59.27699999999999,130,150
ROI.15 [],190.277,60.27699999999999,130,150
ROI.16 [],191.276,61.27600000000001,130,150
