ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.02 [],108.777,28.777,80,100
ROI.02 [],120.778,40.778000000000006,80,100
ROI.02 [],127.278,47.278000000000006,80,100
ROI.02 [],167.787,37.787000000000006,130,150
ROI.02 [],174.286,44.286,130,150
ROI.02 [],186.775,56.775000000000006,130,150
ROI.02 [],191.289,61.28899999999999,130,150
ROI.02 [],196.278,66.27799999999999,130,150
ROI.06 [],114.278,34.278000000000006,80,100
ROI.06 [],189.282,59.28200000000001,130,150
ROI.08 [],67.276,37.275999999999996,30,50
ROI.08 [],78.284,48.284000000000006,30,50
ROI.08 [],175.277,45.27699999999999,130,150
ROI.12 [],68.281,38.281000000000006,30,50
ROI.12 [],112.778,32.778000000000006,80,100
ROI.12 [],158.284,28.283999999999992,130,150
ROI.12 [],170.785,40.785,130,150
ROI.16 [],51.776,21.776000000000003,30,50
ROI.16 [],59.286,29.286,30,50
ROI.16 [],66.778,36.778000000000006,30,50
ROI.16 [],75.278,45.278000000000006,30,50
ROI.16 [],104.777,24.777,80,100
ROI.16 [],119.282,39.282,80,100
ROI.16 [],124.778,44.778000000000006,80,100
ROI.16 [],157.278,27.27799999999999,130,150
ROI.16 [],174.286,44.286,130,150
ROI.16 [],185.282,55.28200000000001,130,150
ROI.16 [],192.281,62.281000000000006,130,150
ROI.19 [],59.286,29.286,30,50
ROI.19 [],75.776,45.775999999999996,30,50
ROI.19 [],122.284,42.284000000000006,80,100
