ROI,mean0,sd0,thr
ROI.01 [],0.24030225515102932,0.04283219764566655,0.45446324337936206
ROI.02 [],0.1515291487732654,0.11554144011612255,0.7292363493538782
ROI.03 [],0.8544789610211823,0.23239366894806313,2.016447305761498
ROI.04 [],0.2214507945170615,0.008282420483186077,0.2628628969329919
ROI.05 [],0.08934636939770045,0.012791463802624133,0.15330368841082112
ROI.06 [],0.04613968942115827,0.014667839377600474,0.11947888630916063
ROI.07 [],0.03498421109571678,0.00553473705021144,0.06265789634677399
ROI.08 [],0.036062952842425104,0.011839931642559266,0.09526261105522144
ROI.09 [],0.03307925383799952,0.013318831917856808,0.09967341342728356
ROI.10 [],0.060650228912074035,0.010141410283295384,0.11135728032855095
ROI.11 [],0.04637942408648035,0.014608237410064704,0.11942061113680387
ROI.12 [],0.04981337789355496,0.006124837020246359,0.08043756299478674
ROI.13 [],0.03134309468878823,0.0036776715461511937,0.0497314524195442
ROI.14 [],0.022121107586096297,0.006808141933023526,0.05616181725121393
ROI.15 [],0.03128794826899573,0.006940780586682708,0.06599185120240927
ROI.16 [],0.01662684194281603,0.004551357977960117,0.03938363183261662
ROI.17 [],0.07248031725447762,0.021834193266234193,0.18165128358564858
ROI.18 [],0.053819351263303374,0.008836621000797863,0.09800245626729269
ROI.19 [],0.02741533986154765,0.0034624742543845665,0.04472771113347048
ROI.20 [],0.03428315085348289,0.006504798581789732,0.06680714376243155
ROI.21 [],0.04585202726268713,0.015658654928807098,0.12414530190672263
ROI.22 [],0.0800686561337941,0.013430944383632256,0.1472233780519554
ROI.23 [],0.026808542343841415,0.005526613964404865,0.05444161216586574
