ROI,mean0,sd0,thr
ROI.01 [],0.17618190229950131,0.06224956300086138,0.48742971730380824
ROI.02 [],0.19755949085747115,0.022270946224082027,0.3089142219778813
ROI.03 [],17.827485992913964,3.9360742416312586,37.50785720107026
ROI.04 [],0.025798203034805234,0.01709607472641471,0.11127857666687878
ROI.05 [],0.05052145466816338,0.01714773172801213,0.13626011330822402
ROI.06 [],0.00896949656616703,0.00918450308475979,0.05489201198996598
ROI.07 [],0.018884010153636208,0.010124864659121685,0.06950833344924463
ROI.08 [],0.0498356837080294,0.023433941782052308,0.16700539261829095
ROI.09 [],0.02506488622955064,0.004408293809199471,0.047106355275548
ROI.10 [],0.09322994698032896,0.035075893512219444,0.2686094145414262
ROI.11 [],0.031150451993662585,0.008908481278783936,0.07569285838758227
ROI.12 [],0.024090342779450404,0.007058739309540697,0.05938403932715389
ROI.13 [],0.018482966998031806,0.004756004793744735,0.04226299096675548
ROI.14 [],0.012821982213265309,0.004943328866621353,0.03753862654637208
ROI.15 [],0.008595821057441807,0.0029346015458505945,0.023268828786694777
ROI.16 [],0.008751570172573274,0.006064240429452601,0.03907277231983628
ROI.17 [],0.024016129693601344,0.011227113444599993,0.0801516969166013
ROI.18 [],0.03378741411264488,0.007101753173061865,0.0692961799779542
ROI.19 [],0.01613738336931117,0.004131067328515319,0.03679272001188776
ROI.20 [],0.019202030561764786,0.005161266251064743,0.045008361817088505
ROI.21 [],0.04518662270981671,0.027756621247533236,0.1839697289474829
ROI.22 [],0.021372957844006002,0.007238169929136973,0.057563807489690866
ROI.23 [],0.018727428973682115,0.0049114079670151585,0.04328446880875791
