ROI,n_spikes,spike_times_s
ROI.01 [],4,21.778;104.776;125.777;159.277
ROI.05 [],4,53.276;79.786;106.775;153.777
ROI.08 [],4,29.777;54.280;101.777;152.776
ROI.15 [],4,21.778;51.777;105.783;153.777
ROI.17 [],4,26.294;51.777;106.775;153.777
ROI.22 [],4,26.294;54.280;108.787;155.788
ROI.14 [],3,26.294;106.775;155.788
ROI.03 [],3,26.294;108.787;158.794
ROI.16 [],2,24.295;153.777
ROI.23 [],2,101.278;151.277
ROI.07 [],2,109.277;121.287
ROI.04 [],1,118.787
ROI.12 [],1,151.277
ROI.06 [],1,150.277
ROI.21 [],1,51.277
ROI.24 [],1,150.277
