ROI,mean0,sd0,thr
ROI.01 [],0.04322970384100578,0.0062072537022332995,0.07426597235217228
ROI.02 [],0.01854562956283321,0.012104486501033325,0.07906806206799984
ROI.03 [],0.05765763901249617,0.018800156235797946,0.1516584201914859
ROI.04 [],0.15613199463547892,0.03164625721865698,0.31436328072876385
ROI.05 [],0.021063482362935752,0.0037376059994680567,0.039751512360276034
ROI.06 [],0.08118628951190389,0.01044827462261364,0.13342766262497208
ROI.07 [],0.033290365768089074,0.021091521473163764,0.13874797313390788
ROI.08 [],0.03056339365366595,0.02908684622906662,0.17599762479899905
ROI.09 [],0.016912749869627597,0.004680775251680167,0.04031662612802843
ROI.10 [],0.02049392713943679,0.0062728328753522584,0.05185809151619808
ROI.11 [],0.00850566321910176,0.0046311934377263105,0.031661630407733315
ROI.12 [],0.010221603813370278,0.008197490635101574,0.05120905698887814
ROI.13 [],0.021497908972569077,0.010970139919145016,0.07634860856829415
ROI.14 [],0.005295852851819544,0.002250009047146315,0.01654589808755112
ROI.15 [],0.005667767818304289,0.001214832277897579,0.011741929207792184
ROI.16 [],0.006672409821634876,0.002154307617934597,0.01744394791130786
ROI.17 [],0.031693277711423155,0.004516152656723154,0.05427404099503892
ROI.18 [],0.008361090711824741,0.006124290565460412,0.0389825435391268
ROI.19 [],0.055018243268000575,0.01678965312852638,0.13896650891063245
ROI.20 [],0.01081954966678454,0.0025268739660206474,0.023453919496887778
ROI.21 [],0.009336767985086345,0.006359664029842024,0.04113508813429646
ROI.22 [],0.01966594389493388,0.003418444072102991,0.03675816425544884
ROI.23 [],0.041438199961287066,0.00926357781090772,0.08775608901582566
ROI.24 [],0.022899210238106107,0.00921756335701109,0.06898702702316156
ROI.25 [],0.007467401750076236,0.001923256720420895,0.01708368535218071
