Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.15 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 [],ROI.20 [],ROI.21 [],ROI.22 [],ROI.23 [],ROI.000 [],ROI.24 [],ROI.25 []
0.257,0.0781356944621923,0.03402957736494284,0.09538021083011242,0.07919584377325208,0.07094493440841361,0.10728386614132074,0.14702443303885615,0.215446457051815,0.04459865894538056,0.06922836494583866,0.019562360076383522,0.006365277544845266,0.022742026741959267,0.006193881938695748,0.010810201065372175,0.009227461913615677,0.04083471497065688,0.013790982074665198,0.054726629861433826,0.024933815908324348,0.07703204201636824,0.032864126245716614,0.10846769267483561,0.0,0.07208019014007606,0.026496836597705603
0.783,0.07819895303248672,0.02945437864080162,0.08591752450395627,0.08475908169911257,0.04987786875839512,0.0899334740815293,0.10599180803719498,0.12716823252652665,0.041122277224739656,0.058733210012628455,0.021952619093275453,0.028524537943336935,0.044119550998442586,0.007717461397577733,0.009589967993141088,0.007042455072570011,0.03536876627506239,0.021796266668710044,0.038733887374737846,0.02296733724786638,0.07651400058553849,0.026837208043064543,0.08784019605894255,0.0,0.058904959769598225,0.022697585548834186
1.276,0.07232763491686635,0.023231835646126887,0.061710368393916595,0.07811093084083469,0.052306643542478395,0.08035766576903897,0.09122198321452513,0.11523945771189602,0.03457594789035257,0.04412622786956207,0.018061014486715002,0.021055934604892405,0.029787512570649734,0.0027096341953325334,0.009032649473931944,0.006163071542972103,0.03300989400189098,0.015119888593727598,0.0264433289477449,0.020109384320103323,0.06807215641600904,0.020098733493235744,0.08228262155055771,0.0,0.05457250533812474,0.02091110153064085
1.794,0.0599453800697577,0.021679711092293184,0.04289875637164005,0.07902431106796722,0.0445832465692207,0.06515879004178865,0.07111672119581622,0.10901963081974773,0.030599461392075197,0.03728812500753032,0.019567804123614755,0.027152691672628265,0.029343784985254716,0.0029654290290566272,0.005713940671933125,0.003794717364409946,0.03493688682007174,0.02185434396434384,0.051762386235268784,0.012936008028684118,0.059863207882919295,0.019064805318368006,0.0747550807775293,0.0,0.05566364164455758,0.013588204237067312
2.276,0.054924748310986406,0.014548275157846948,0.06646897055481284,0.07006364228422132,0.04080946194756994,0.06437027456178389,0.07957544423267704,0.13259097814763926,0.030094709113881905,0.0362926517723616,0.01686301247683758,0.02303535105436937,0.0372525721479306,0.0037427855325558616,0.008073584280076916,0.0052917374046631965,0.033548698976203065,0.021784060323499107,0.04966243629075915,0.011110407946632728,0.06366496501885649,0.01903356056315207,0.09364442099042648,0.0,0.050580773357549035,0.01433698789087785
2.787,0.04737682334705541,0.011848567073193018,0.06277416491325925,0.07160858597886219,0.04483132719295581,0.04765447128213301,0.0598832048944577,0.09276868084280791,0.029231109780260184,0.035861361397508396,0.017938866636504378,0.02875894982785887,0.04463801576182169,0.004021961129417036,0.008080231029786273,0.004795431014823338,0.03057928960152977,0.02461611839685071,0.04361773957616207,0.011740879183492984,0.05585615927381003,0.018537435013095332,0.08394898996579142,0.0,0.04605699907734797,0.014670178901853292
3.277,0.046260516299523845,0.006421162850411187,0.07592990375220596,0.08692040889458083,0.05090671641539801,0.06200780273329874,0.048283471047632275,0.07452136080336949,0.027286126221468476,0.03172703307620638,0.01682655534503649,0.023861930995513314,0.03506546975795463,0.0074396387139452165,0.009819459681800745,0.00505999512491225,0.027504994263479677,0.019734427279848175,0.07430855305744674,0.009674573813588126,0.057056950902989886,0.020594453803257445,0.08314698066742253,0.0,0.042230112625150105,0.01496924526484835
3.788,0.02983899462616219,0.006386622050023349,0.0631676707939655,0.057734503830006494,0.04100558193613896,0.03050629750870944,0.06304948223780966,0.08490547507087223,0.019601178488607856,0.029671430948101086,0.016791377332343083,0.02228634427519069,0.033752545643318276,0.0066038591396152205,0.007736163440830125,0.004660968223787355,0.023537354849618823,0.02124774597321216,0.04752864700195838,0.006536776894804191,0.05576842164777807,0.02141257731527555,0.06635795535099581,0.0,0.03813928484351447,0.00969939403135398
4.276,0.019675755020304313,0.009437635883732375,0.04191661474061527,0.07025495261967869,0.043788265455509415,0.04739158209305122,0.0469934120686258,0.08115510827606368,0.01415344665510282,0.02175337144408614,0.015523767297921504,0.018058224337012707,0.027245136154341997,0.004641247727730365,0.006628250420670782,0.004684401138635252,0.02112939670876145,0.013464463739421496,0.048847824172580226,0.011669273670620116,0.05004725869313606,0.017646598591401722,0.05645604353677956,0.0,0.03961851790910572,0.0073419247351155835
4.778,0.023452256774205163,0.012619584334224691,0.04254979752768282,0.08309198634255689,0.04756798690803751,0.03062872316536458,0.0570233764815485,0.08114173679092643,0.013139431008165914,0.02369613857233195,0.018220634688083562,0.020427790611752948,0.0360418293138065,0.005138202671858972,0.007514181030823377,0.005754546840045828,0.021419235790830965,0.020442932767177766,0.07540212066978522,0.01365738360040592,0.05634967509023738,0.016760548462255165,0.0819515087409397,0.0,0.04265415509098953,0.005906222444791601
5.287,0.016789646474115207,0.008064555332815158,0.04645253186284139,0.08258281470461175,0.03662927011997025,0.02033145641216805,0.045747807890111195,0.07988767822951048,0.01150303922299074,0.01798409038572345,0.01389396447810097,0.013527951027812866,0.027815095334617634,0.0040472343089409685,0.004231331314801926,0.000705690076326297,0.018118609259425163,0.011526653329410374,0.05560164760575748,0.013089988620259068,0.05319990540453352,0.00892609986275463,0.060292020729713396,0.0,0.046571222399627056,0.006038593108985681
