ROI,mean0,sd0,thr
ROI.01 [],0.034446696474136305,0.015564651973343238,0.11226995634085249
ROI.02 [],0.038993753573571446,0.00969632749592975,0.08747539105322019
ROI.03 [],0.041602576471228433,0.01718216969376564,0.12751342494005663
ROI.04 [],0.04232452693612432,0.009736532605728758,0.09100718996476811
ROI.05 [],0.006723123154965296,0.004323536644847007,0.028340806379200327
ROI.06 [],0.0872354088008856,0.01953799936478858,0.1849254056248285
ROI.07 [],0.04541210625924921,0.022280996059611227,0.15681708655730536
ROI.08 [],0.046190719787410746,0.030949915165088167,0.20094029561285157
ROI.09 [],0.016027565876876412,0.00602939761075584,0.046174553930655615
ROI.10 [],0.010177433234920468,0.0038137535409276013,0.029246200939558476
ROI.11 [],0.018264647483164663,0.006794601445093068,0.05223765470863
ROI.12 [],0.040407831149193926,0.013584162740886243,0.10832864485362514
ROI.13 [],0.05470653981136014,0.016720278391388562,0.13830793176830294
ROI.14 [],0.0074216642546256735,0.003016632913729775,0.022504828823274547
ROI.15 [],0.009378225725935581,0.0028101585263553422,0.023429018357712293
ROI.16 [],0.0053200182394949926,0.0028490343402824327,0.019565189940907154
ROI.17 [],0.03573152454679615,0.0027446884763005007,0.049454966928298656
ROI.18 [],0.03303639002271005,0.009777773043734403,0.08192525524138206
ROI.19 [],0.09508958043063244,0.029066501143544293,0.24042208614835392
ROI.20 [],0.006174309103284006,0.004160855490453484,0.026978586555551427
ROI.21 [],0.019342957895916824,0.00779267783916052,0.05830634709171942
ROI.22 [],0.01794285002455979,0.006319068832813834,0.04953819418862897
ROI.23 [],0.03652935035093727,0.02495842936999978,0.1613214972009362
ROI.24 [],0.04205440943170478,0.018012838552034612,0.13211860219187785
ROI.25 [],0.010448883318507133,0.00380076365557703,0.029452701596392284
