ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.01 [],49.778,0.0,30,50
ROI.01 [],83.276,0.0,80,100
ROI.01 [],138.276,0.0,130,150
ROI.01 [],184.277,34.27699999999999,130,150
ROI.01 [],199.776,49.77600000000001,130,150
ROI.02 [],43.277,0.0,30,50
ROI.02 [],80.277,0.0,80,100
ROI.02 [],140.276,0.0,130,150
ROI.02 [],197.778,47.77799999999999,130,150
ROI.04 [],32.276,0.0,30,50
ROI.04 [],96.276,0.0,80,100
ROI.04 [],146.776,0.0,130,150
ROI.05 [],44.278,0.0,30,50
ROI.05 [],96.276,0.0,80,100
ROI.05 [],146.776,0.0,130,150
