ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.03 [],59.795,29.795,30,50
ROI.03 [],78.276,48.275999999999996,30,50
ROI.03 [],104.276,24.275999999999996,80,100
ROI.03 [],129.276,49.27600000000001,80,100
ROI.03 [],155.287,25.287000000000006,130,150
ROI.03 [],169.776,39.77600000000001,130,150
ROI.03 [],185.776,55.77600000000001,130,150
ROI.03 [],195.287,65.287,130,150
ROI.03 [],202.778,72.77799999999999,130,150
ROI.04 [],53.286,23.286,30,50
ROI.04 [],72.282,42.282,30,50
ROI.04 [],106.288,26.287999999999997,80,100
ROI.04 [],127.777,47.777,80,100
ROI.07 [],56.276,26.276000000000003,30,50
ROI.07 [],61.277,31.277,30,50
ROI.07 [],108.775,28.775000000000006,80,100
ROI.07 [],153.776,23.77600000000001,130,150
ROI.10 [],53.286,23.286,30,50
ROI.10 [],75.275,45.275000000000006,30,50
ROI.10 [],104.276,24.275999999999996,80,100
ROI.10 [],119.777,39.777,80,100
ROI.10 [],124.287,44.287000000000006,80,100
ROI.10 [],155.287,25.287000000000006,130,150
