ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.02 [],50.276,20.276000000000003,30,50
ROI.05 [],101.276,21.275999999999996,80,100
ROI.08 [],51.277,21.277,30,50
ROI.08 [],111.794,31.793999999999997,80,100
ROI.08 [],183.277,53.27699999999999,130,150
ROI.08 [],193.777,63.77699999999999,130,150
ROI.09 [],101.276,21.275999999999996,80,100
ROI.10 [],50.276,20.276000000000003,30,50
ROI.13 [],51.277,21.277,30,50
ROI.13 [],111.276,31.275999999999996,80,100
ROI.13 [],120.778,40.778000000000006,80,100
