ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.01 [],31.777,1.777000000000001,30,50
ROI.01 [],62.28,32.28,30,50
ROI.01 [],100.775,20.775000000000006,80,100
ROI.01 [],133.278,3.2779999999999916,130,150
ROI.02 [],104.777,24.777,80,100
ROI.03 [],62.28,32.28,30,50
ROI.03 [],100.775,20.775000000000006,80,100
ROI.06 [],31.777,1.777000000000001,30,50
ROI.06 [],61.788,31.787999999999997,30,50
ROI.06 [],100.775,20.775000000000006,80,100
ROI.06 [],135.277,5.276999999999987,130,150
ROI.07 [],31.777,1.777000000000001,30,50
ROI.07 [],61.788,31.787999999999997,30,50
ROI.07 [],100.775,20.775000000000006,80,100
ROI.07 [],132.277,2.276999999999987,130,150
ROI.08 [],62.28,32.28,30,50
ROI.10 [],105.289,25.289,80,100
ROI.14 [],62.783,32.783,30,50
