ROI,mean0,sd0,thr
ROI.01 [],0.07872278937583739,0.03164306938845601,0.23693813631811744
ROI.02 [],0.013971295268408679,0.00949405850614296,0.06144158779912348
ROI.04 [],0.017146215508375577,0.013400612413719176,0.08414927757697147
ROI.05 [],0.02013446766496055,0.011591114713988156,0.07809004123490133
ROI.03 [],0.03942797210840454,0.02817813498328983,0.18031864702485367
ROI.06 [],0.13246361574821927,0.040059980130194066,0.3327635163991896
ROI.07 [],0.12227493066272938,0.07718256022269435,0.5081877317762011
ROI.08 [],0.40991716709244475,0.49208630339402354,2.8703486840625625
ROI.09 [],0.009940796346307387,0.007296750383740321,0.04642454826500899
ROI.10 [],0.014255122576227847,0.008108558908242183,0.05479791711743876
ROI.11 [],0.024405588794885653,0.012979653097899843,0.08930385428438486
ROI.12 [],0.019222590961368288,0.014988534497665743,0.094165263449697
ROI.13 [],0.0960251959941092,0.07255413859722142,0.4587958889802163
ROI.14 [],0.031991414471035505,0.015433065265202972,0.10915674079705037
