ROI_A,ROI_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
ROI.01 [],ROI.02 [],4,6,4.0,1.1666666666666667,0.008446890190652537,**
ROI.01 [],ROI.03 [],4,8,4.0,1.25,0.005494110875631203,**
ROI.01 [],ROI.04 [],4,5,4.0,2.0,0.06168916598092455,ns
ROI.01 [],ROI.05 [],4,6,4.0,1.0,0.005374159400658857,**
ROI.01 [],ROI.06 [],4,4,4.0,1.75,0.05150833604880684,ns
ROI.01 [],ROI.07 [],4,4,4.0,1.5,0.047057446282172885,*
ROI.01 [],ROI.08 [],4,5,4.0,2.0,0.09783166898477648,ns
ROI.01 [],ROI.09 [],4,5,4.0,2.2,0.15558034779219784,ns
ROI.01 [],ROI.10 [],4,6,4.0,2.0,0.0623570603614063,ns
ROI.01 [],ROI.11 [],4,3,4.0,2.0,0.0954832320975473,ns
ROI.01 [],ROI.12 [],4,3,4.0,2.0,0.0954832320975473,ns
ROI.01 [],ROI.13 [],4,7,4.0,1.2857142857142858,0.009012053831360223,**
ROI.01 [],ROI.14 [],4,6,4.0,1.3333333333333333,0.015087255494406496,*
ROI.02 [],ROI.03 [],6,8,1.1666666666666667,1.25,1.0,ns
ROI.02 [],ROI.04 [],6,5,1.1666666666666667,2.0,0.1640535992687675,ns
ROI.02 [],ROI.05 [],6,6,1.1666666666666667,1.0,0.40465676192728617,ns
ROI.02 [],ROI.06 [],6,4,1.1666666666666667,1.75,0.29184054514378843,ns
ROI.02 [],ROI.07 [],6,4,1.1666666666666667,1.5,0.7609067270751141,ns
ROI.02 [],ROI.08 [],6,5,1.1666666666666667,2.0,0.4146487330272075,ns
ROI.02 [],ROI.09 [],6,5,1.1666666666666667,2.2,0.3529716339560043,ns
ROI.02 [],ROI.10 [],6,6,1.1666666666666667,2.0,0.21440071155302465,ns
ROI.02 [],ROI.11 [],6,3,1.1666666666666667,2.0,0.16491482255330148,ns
ROI.02 [],ROI.12 [],6,3,1.1666666666666667,2.0,0.16491482255330148,ns
ROI.02 [],ROI.13 [],6,7,1.1666666666666667,1.2857142857142858,1.0,ns
ROI.02 [],ROI.14 [],6,6,1.1666666666666667,1.3333333333333333,1.0,ns
ROI.03 [],ROI.04 [],8,5,1.25,2.0,0.12779100544115363,ns
ROI.03 [],ROI.05 [],8,6,1.25,1.0,0.47048642205878966,ns
ROI.03 [],ROI.06 [],8,4,1.25,1.75,0.2635524772829727,ns
ROI.03 [],ROI.07 [],8,4,1.25,1.5,0.6940954678451534,ns
ROI.03 [],ROI.08 [],8,5,1.25,2.0,0.32222361987234815,ns
ROI.03 [],ROI.09 [],8,5,1.25,2.2,0.27499362750814604,ns
ROI.03 [],ROI.10 [],8,6,1.25,2.0,0.16854544403760174,ns
ROI.03 [],ROI.11 [],8,3,1.25,2.0,0.15180566279117122,ns
ROI.03 [],ROI.12 [],8,3,1.25,2.0,0.15180566279117122,ns
ROI.03 [],ROI.13 [],8,7,1.25,1.2857142857142858,1.0,ns
ROI.03 [],ROI.14 [],8,6,1.25,1.3333333333333333,0.9154002076734721,ns
ROI.04 [],ROI.05 [],5,6,2.0,1.0,0.04758192380955237,*
ROI.04 [],ROI.06 [],5,4,2.0,1.75,0.8963198452359471,ns
ROI.04 [],ROI.07 [],5,4,2.0,1.5,0.5001842570707944,ns
ROI.04 [],ROI.08 [],5,5,2.0,2.0,0.8212223631874724,ns
ROI.04 [],ROI.09 [],5,5,2.0,2.2,1.0,ns
ROI.04 [],ROI.10 [],5,6,2.0,2.0,1.0,ns
ROI.04 [],ROI.11 [],5,3,2.0,2.0,1.0,ns
ROI.04 [],ROI.12 [],5,3,2.0,2.0,1.0,ns
ROI.04 [],ROI.13 [],5,7,2.0,1.2857142857142858,0.17509095933944663,ns
ROI.04 [],ROI.14 [],5,6,2.0,1.3333333333333333,0.24337451741858873,ns
ROI.05 [],ROI.06 [],6,4,1.0,1.75,0.09420988683387367,ns
ROI.05 [],ROI.07 [],6,4,1.0,1.5,0.30743416592739536,ns
ROI.05 [],ROI.08 [],6,5,1.0,2.0,0.13638021563578917,ns
ROI.05 [],ROI.09 [],6,5,1.0,2.2,0.13638021563578917,ns
ROI.05 [],ROI.10 [],6,6,1.0,2.0,0.0740099699862347,ns
ROI.05 [],ROI.11 [],6,3,1.0,2.0,0.05182992721790968,ns
ROI.05 [],ROI.12 [],6,3,1.0,2.0,0.05182992721790968,ns
ROI.05 [],ROI.13 [],6,7,1.0,1.2857142857142858,0.4404006981390032,ns
ROI.05 [],ROI.14 [],6,6,1.0,1.3333333333333333,0.40465676192728617,ns
ROI.06 [],ROI.07 [],4,4,1.75,1.5,0.7388826803635273,ns
ROI.06 [],ROI.08 [],4,5,1.75,2.0,1.0,ns
ROI.06 [],ROI.09 [],4,5,1.75,2.2,1.0,ns
ROI.06 [],ROI.10 [],4,6,1.75,2.0,0.908835776340822,ns
ROI.06 [],ROI.11 [],4,3,1.75,2.0,0.8515956593128358,ns
ROI.06 [],ROI.12 [],4,3,1.75,2.0,0.8515956593128358,ns
ROI.06 [],ROI.13 [],4,7,1.75,1.2857142857142858,0.3345469057972166,ns
ROI.06 [],ROI.14 [],4,6,1.75,1.3333333333333333,0.42919530044034926,ns
ROI.07 [],ROI.08 [],4,5,1.5,2.0,0.7710186241805638,ns
ROI.07 [],ROI.09 [],4,5,1.5,2.2,0.6605492052016729,ns
ROI.07 [],ROI.10 [],4,6,1.5,2.0,0.5466393996868952,ns
ROI.07 [],ROI.11 [],4,3,1.5,2.0,0.5541131300694455,ns
ROI.07 [],ROI.12 [],4,3,1.5,2.0,0.5541131300694455,ns
ROI.07 [],ROI.13 [],4,7,1.5,1.2857142857142858,0.7781596861761658,ns
ROI.07 [],ROI.14 [],4,6,1.5,1.3333333333333333,0.8783248501010348,ns
ROI.08 [],ROI.09 [],5,5,2.0,2.2,1.0,ns
ROI.08 [],ROI.10 [],5,6,2.0,2.0,0.9204882806483893,ns
ROI.08 [],ROI.11 [],5,3,2.0,2.0,0.7491068327779719,ns
ROI.08 [],ROI.12 [],5,3,2.0,2.0,0.7491068327779719,ns
ROI.08 [],ROI.13 [],5,7,2.0,1.2857142857142858,0.3938500585384872,ns
ROI.08 [],ROI.14 [],5,6,2.0,1.3333333333333333,0.4860340344885349,ns
ROI.09 [],ROI.10 [],5,6,2.2,2.0,1.0,ns
ROI.09 [],ROI.11 [],5,3,2.2,2.0,1.0,ns
ROI.09 [],ROI.12 [],5,3,2.2,2.0,1.0,ns
ROI.09 [],ROI.13 [],5,7,2.2,1.2857142857142858,0.33597904704657144,ns
ROI.09 [],ROI.14 [],5,6,2.2,1.3333333333333333,0.4146487330272075,ns
ROI.10 [],ROI.11 [],6,3,2.0,2.0,1.0,ns
