ROI_A,ROI_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
ROI.01 [],ROI.02 [],3,3,0.48861951483536786,0.047288219081570014,0.1,ns
ROI.01 [],ROI.03 [],3,3,0.48861951483536786,0.15470841161719684,0.4,ns
ROI.01 [],ROI.04 [],3,4,0.48861951483536786,0.07300422741975662,0.4,ns
ROI.01 [],ROI.05 [],3,1,0.48861951483536786,0.02667630117678215,1.0,ns
ROI.01 [],ROI.06 [],3,2,0.48861951483536786,0.8024386406366683,0.8,ns
ROI.01 [],ROI.07 [],3,3,0.48861951483536786,0.11791162873034604,0.4,ns
ROI.01 [],ROI.08 [],3,4,0.48861951483536786,0.06098636130073353,0.11428571428571428,ns
ROI.01 [],ROI.09 [],3,5,0.48861951483536786,0.06399366056370448,0.14285714285714285,ns
ROI.01 [],ROI.10 [],3,3,0.48861951483536786,0.056133837146740174,0.2,ns
ROI.01 [],ROI.11 [],3,3,0.48861951483536786,0.6922215778549669,0.7,ns
ROI.01 [],ROI.12 [],3,3,0.48861951483536786,0.07103474881929384,0.7,ns
ROI.01 [],ROI.13 [],3,3,0.48861951483536786,0.15470841161719684,0.4,ns
ROI.01 [],ROI.14 [],3,1,0.48861951483536786,0.02702053995145342,1.0,ns
ROI.02 [],ROI.03 [],3,3,0.047288219081570014,0.15470841161719684,0.1,ns
ROI.02 [],ROI.04 [],3,4,0.047288219081570014,0.07300422741975662,0.05714285714285714,ns
ROI.02 [],ROI.05 [],3,1,0.047288219081570014,0.02667630117678215,1.0,ns
ROI.02 [],ROI.06 [],3,2,0.047288219081570014,0.8024386406366683,0.2,ns
ROI.02 [],ROI.07 [],3,3,0.047288219081570014,0.11791162873034604,0.2,ns
ROI.02 [],ROI.08 [],3,4,0.047288219081570014,0.06098636130073353,1.0,ns
ROI.02 [],ROI.09 [],3,5,0.047288219081570014,0.06399366056370448,0.7857142857142857,ns
ROI.02 [],ROI.10 [],3,3,0.047288219081570014,0.056133837146740174,0.4,ns
ROI.02 [],ROI.11 [],3,3,0.047288219081570014,0.6922215778549669,0.1,ns
ROI.02 [],ROI.12 [],3,3,0.047288219081570014,0.07103474881929384,0.1,ns
ROI.02 [],ROI.13 [],3,3,0.047288219081570014,0.15470841161719684,0.1,ns
ROI.02 [],ROI.14 [],3,1,0.047288219081570014,0.02702053995145342,1.0,ns
ROI.03 [],ROI.04 [],3,4,0.15470841161719684,0.07300422741975662,0.4,ns
ROI.03 [],ROI.05 [],3,1,0.15470841161719684,0.02667630117678215,1.0,ns
ROI.03 [],ROI.06 [],3,2,0.15470841161719684,0.8024386406366683,0.2,ns
ROI.03 [],ROI.07 [],3,3,0.15470841161719684,0.11791162873034604,0.7,ns
ROI.03 [],ROI.08 [],3,4,0.15470841161719684,0.06098636130073353,0.11428571428571428,ns
ROI.03 [],ROI.09 [],3,5,0.15470841161719684,0.06399366056370448,0.14285714285714285,ns
ROI.03 [],ROI.10 [],3,3,0.15470841161719684,0.056133837146740174,0.2,ns
ROI.03 [],ROI.11 [],3,3,0.15470841161719684,0.6922215778549669,0.4,ns
ROI.03 [],ROI.12 [],3,3,0.15470841161719684,0.07103474881929384,0.7,ns
ROI.03 [],ROI.13 [],3,3,0.15470841161719684,0.15470841161719684,1.0,ns
ROI.03 [],ROI.14 [],3,1,0.15470841161719684,0.02702053995145342,1.0,ns
ROI.04 [],ROI.05 [],4,1,0.07300422741975662,0.02667630117678215,1.0,ns
ROI.04 [],ROI.06 [],4,2,0.07300422741975662,0.8024386406366683,0.13333333333333333,ns
ROI.04 [],ROI.07 [],4,3,0.07300422741975662,0.11791162873034604,1.0,ns
ROI.04 [],ROI.08 [],4,4,0.07300422741975662,0.06098636130073353,0.34285714285714286,ns
ROI.04 [],ROI.09 [],4,5,0.07300422741975662,0.06399366056370448,0.7301587301587302,ns
ROI.04 [],ROI.10 [],4,3,0.07300422741975662,0.056133837146740174,0.22857142857142856,ns
ROI.04 [],ROI.11 [],4,3,0.07300422741975662,0.6922215778549669,0.05714285714285714,ns
ROI.04 [],ROI.12 [],4,3,0.07300422741975662,0.07103474881929384,0.8571428571428571,ns
ROI.04 [],ROI.13 [],4,3,0.07300422741975662,0.15470841161719684,0.4,ns
ROI.04 [],ROI.14 [],4,1,0.07300422741975662,0.02702053995145342,1.0,ns
ROI.05 [],ROI.06 [],1,2,0.02667630117678215,0.8024386406366683,1.0,ns
ROI.05 [],ROI.07 [],1,3,0.02667630117678215,0.11791162873034604,1.0,ns
ROI.05 [],ROI.08 [],1,4,0.02667630117678215,0.06098636130073353,1.0,ns
ROI.05 [],ROI.09 [],1,5,0.02667630117678215,0.06399366056370448,1.0,ns
ROI.05 [],ROI.10 [],1,3,0.02667630117678215,0.056133837146740174,1.0,ns
ROI.05 [],ROI.11 [],1,3,0.02667630117678215,0.6922215778549669,1.0,ns
ROI.05 [],ROI.12 [],1,3,0.02667630117678215,0.07103474881929384,1.0,ns
ROI.05 [],ROI.13 [],1,3,0.02667630117678215,0.15470841161719684,1.0,ns
ROI.05 [],ROI.14 [],1,1,0.02667630117678215,0.02702053995145342,1.0,ns
ROI.06 [],ROI.07 [],2,3,0.8024386406366683,0.11791162873034604,0.2,ns
ROI.06 [],ROI.08 [],2,4,0.8024386406366683,0.06098636130073353,0.13333333333333333,ns
ROI.06 [],ROI.09 [],2,5,0.8024386406366683,0.06399366056370448,0.09523809523809523,ns
ROI.06 [],ROI.10 [],2,3,0.8024386406366683,0.056133837146740174,0.2,ns
