Condition,ROI,Spike_Count,Avg_Latency_s,Median_Latency_s,Std_Latency_s
blue4,ROI.01 [],2,42.53099999999999,42.53099999999999,16.611352503634365
blue4,ROI.06 [],3,35.94666666666666,30.785,16.37158673841156
blue4,ROI.07 [],1,57.77600000000001,57.77600000000001,
blue4,ROI.11 [],1,53.77799999999999,53.77799999999999,
blue4,[blue4 TOTAL],7,43.49371428571428,53.77799999999999,14.688274095507676
red6,ROI.01 [],1,40.278000000000006,40.278000000000006,
red6,ROI.09 [],1,35.787000000000006,35.787000000000006,
red6,ROI.11 [],1,42.276,42.276,
red6,[red6 TOTAL],3,39.447,40.278000000000006,3.3233568872451826
red7,ROI.01 [],2,26.281500000000005,26.281500000000005,7.787366981207442
red7,ROI.02 [],1,26.77800000000001,26.77800000000001,
red7,ROI.03 [],2,26.527500000000003,26.527500000000003,8.135263517551223
red7,ROI.06 [],2,26.281500000000005,26.281500000000005,7.787366981207442
red7,ROI.07 [],1,26.77800000000001,26.77800000000001,
red7,ROI.08 [],1,26.288,26.288,
red7,ROI.09 [],1,29.776000000000003,29.776000000000003,
red7,ROI.11 [],2,25.776500000000002,25.776500000000002,7.7774674862708375
red7,ROI.13 [],2,26.527500000000003,26.527500000000003,8.135263517551223
red7,[red7 TOTAL],14,26.600642857142862,26.77800000000001,5.00899940272341
red8,ROI.03 [],1,28.777,28.777,
red8,ROI.08 [],1,44.77799999999999,44.77799999999999,
red8,ROI.13 [],1,28.777,28.777,
red8,[red8 TOTAL],3,34.11066666666667,28.777,9.238181657303196
ALL,OVERALL,27,33.242148148148146,30.785,11.239321152863633
