ROI,mean0,sd0,thr
ROI.01 [],0.0849497563063464,0.02069097100453088,0.14702266931993904
ROI.02 [],0.019527248549173197,0.006223239661014736,0.03819696753221741
ROI.04 [],0.024400870448318873,0.016396925456025984,0.07359164681639682
ROI.05 [],0.011547082675031914,0.009689400750038888,0.04061528492514858
ROI.03 [],0.03077985712123927,0.020775007955098963,0.09310488098653616
ROI.06 [],0.08706358162032675,0.01983642335301868,0.14657285167938278
ROI.07 [],0.022153825447647248,0.009729421660392236,0.051342090428823955
ROI.08 [],0.017315819317821085,0.009100473954605743,0.04461724118163832
ROI.09 [],0.015351420981417794,0.007406747062612135,0.0375716621692542
ROI.10 [],0.017901873488738822,0.007522225379304942,0.04046854962665365
ROI.11 [],0.12234340870840857,0.03250782037217666,0.21986686982493853
ROI.12 [],0.03148250617047578,0.026471241776593383,0.11089623150025593
ROI.13 [],0.03077985712123927,0.020775007955098963,0.09310488098653616
ROI.14 [],0.013650816346236525,0.0093262327517147,0.04162951460138062
